,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-11-30,23-156,MIA,,WAS,L (-9),1,8:00,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,1,2,1.3,-8
1,2,2,2001-12-23,23-179,MIA,@,TOR,L (-7),0,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,10
2,3,3,2002-01-12,23-199,MIA,@,PHO,L (-34),0,23:00,0,6,0.0,0,0,,2,2,1.0,5,1,6,1,1,2,0,3,2,3.5,-2
3,4,4,2002-01-28,23-215,MIA,@,UTA,L (-12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
4,5,5,2002-03-02,23-248,MIA,@,DAL,W (+14),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-11
5,6,6,2002-03-15,23-261,MIA,@,NJN,L (-19),0,2:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-2
6,7,7,2002-03-16,23-262,MIA,,DEN,W (+25),0,4:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.1,2
7,8,8,2002-03-31,23-277,MIA,@,IND,L (-19),0,5:00,1,2,0.5,0,0,,2,2,1.0,0,2,2,0,0,0,0,0,4,3.6,9
8,9,9,2002-04-12,23-289,MIA,,ORL,W (+5),0,15:00,8,9,0.889,0,0,,0,0,,3,2,5,1,0,1,0,1,16,16.6,16
9,10,10,2002-04-14,23-291,MIA,,NYK,L (-27),0,24:00,1,5,0.2,0,0,,1,3,0.33299999999999996,3,5,8,0,0,1,0,1,3,3.0,-22
10,11,11,2002-04-16,23-293,MIA,,CHH,L (-7),0,31:00,4,9,0.444,0,1,0.0,3,3,1.0,0,4,4,0,1,1,1,5,11,6.2,-13
11,12,12,2002-04-17,23-294,MIA,@,ORL,W (+14),1,42:00,7,16,0.43799999999999994,0,0,,0,0,,3,8,11,2,1,2,1,4,14,11.3,13
