,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-11-02,21-139,NJN,@,DET,L (-14),0,7:00,0,5,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,-1.9,+5
1,2,2,2001-11-08,21-145,NJN,,SEA,W (+12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
2,3,3,2001-11-16,21-153,NJN,,NYK,W (+26),0,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+3
3,4,4,2001-11-17,21-154,NJN,,PHI,L (-12),0,11:00,1,5,.200,0,1,.000,0,0,,0,0,0,0,0,0,0,4,2,-2.7,+3
4,5,5,2001-11-22,21-159,NJN,@,LAC,W (+5),0,8:00,0,2,.000,0,0,,0,2,.000,3,0,3,1,0,0,0,0,0,0.6,-13
5,6,6,2001-11-25,21-162,NJN,@,GSW,L (-16),0,4:00,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.0,+2
6,7,7,2001-11-27,21-164,NJN,,CHI,W (+32),0,17:00,4,6,.667,0,0,,0,0,,1,1,2,2,1,0,0,1,8,8.4,+7
7,8,8,2001-12-01,21-168,NJN,,BOS,L (-7),0,6:00,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,4,1.9,+3
8,9,9,2001-12-05,21-172,NJN,,PHO,W (+19),0,13:00,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,0,3,2,-1.3,-10
9,10,10,2001-12-07,21-174,NJN,,CLE,W (+12),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
10,11,11,2001-12-08,21-175,NJN,@,MIL,L (-16),0,6:00,1,4,.250,0,0,,0,0,,0,0,0,1,1,0,0,0,2,1.3,-1
11,12,12,2001-12-11,21-178,NJN,@,CHI,W (+14),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
