,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-11-06,32-080,MEM,@,PHO,L (-12),0,7:00,1,4,.250,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-3
1,2,2,2001-11-07,32-081,MEM,@,LAC,L (-16),0,3:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,1.3,-6
2,3,3,2001-11-09,32-083,MEM,@,LAL,L (-24),0,13:00,2,3,.667,0,0,,0,0,,0,2,2,1,0,1,1,2,4,2.9,-11
3,4,4,2001-11-23,32-097,MEM,,PHO,L (-14),0,4:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,2,1.7,-1
4,5,5,2001-11-24,32-098,MEM,@,DET,L (-7),0,14:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,1,5,2,-0.7,+12
5,6,6,2001-11-26,32-100,MEM,,SAC,W (+4),1,26:00,3,8,.375,0,0,,0,0,,1,6,7,1,1,2,1,2,6,5.4,-2
6,7,7,2001-12-02,32-106,MEM,@,PHI,W (+6),0,9:00,3,4,.750,0,0,,0,0,,1,2,3,1,1,0,0,2,6,6.6,+5
7,8,8,2001-12-03,32-107,MEM,@,ORL,L (-42),0,8:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,1.6,0
8,9,9,2001-12-06,32-110,MEM,,MIN,L (-25),1,25:00,2,7,.286,0,0,,2,2,1.000,3,2,5,1,1,0,2,1,6,3.9,-14
9,10,10,2001-12-08,32-112,MEM,,PHI,W (+9),1,35:00,4,10,.400,0,1,.000,0,0,,1,7,8,1,1,0,0,3,8,5.9,+9
10,11,11,2001-12-11,32-115,MEM,,WAS,L (-10),1,26:00,5,8,.625,0,0,,0,0,,1,9,10,0,1,2,1,2,10,10.4,-12
11,12,12,2001-12-13,32-117,MEM,@,DEN,L (-3),1,25:00,2,10,.200,0,0,,0,0,,0,7,7,2,1,0,0,1,4,1.9,-5
12,13,13,2001-12-15,32-119,MEM,@,GSW,L (-9),1,21:00,0,4,.000,0,0,,2,2,1.000,0,4,4,0,0,0,0,4,2,-1.2,-11
13,14,14,2001-12-16,32-120,MEM,@,SAC,L (-17),1,19:00,2,5,.400,0,0,,0,0,,1,1,2,2,0,0,2,3,4,0.5,-10
14,15,15,2001-12-21,32-125,MEM,,LAL,W (+6),1,27:00,3,9,.333,0,0,,0,0,,0,5,5,3,1,0,0,3,6,4.3,-4
15,16,16,2002-01-02,32-137,MEM,@,NJN,L (-18),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-8
16,17,17,2002-01-06,32-141,MEM,,SEA,L (-12),0,4:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-1
17,18,18,2002-02-01,32-167,MEM,,LAL,L (-15),0,17:00,4,7,.571,0,1,.000,0,0,,1,4,5,0,1,0,0,2,8,6.8,-16
18,19,19,2002-02-05,32-171,MEM,,UTA,W (+7),0,10:00,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,1,4,0,-3.1,-2
19,20,20,2002-02-07,32-173,MEM,@,MIL,L (-4),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2002-02-12,32-178,MEM,@,HOU,L (-7),0,7:00,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,1,0,2,0.6,-9
