,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2001-10-30,29-110,IND,@,NJN,L (-6),0,30:00,3,8,.375,1,2,.500,0,0,,0,2,2,4,2,0,2,1,7,5.6,-5
1,2,2,2001-10-31,29-111,IND,@,CHI,W (+25),0,12:00,0,4,.000,0,0,,0,0,,0,5,5,7,1,0,0,0,0,4.6,+4
2,3,3,2001-11-02,29-113,IND,,ORL,W (+10),0,22:00,4,8,.500,2,2,1.000,0,0,,1,2,3,4,2,0,5,3,10,5.9,+9
3,4,4,2001-11-04,29-115,IND,@,TOR,L (-13),0,25:00,3,6,.500,0,1,.000,2,2,1.000,1,2,3,4,3,0,0,3,8,10.9,-13
4,5,5,2001-11-06,29-117,IND,@,PHI,W (+10),0,24:00,1,2,.500,0,0,,2,2,1.000,0,2,2,6,0,0,3,2,4,4.0,+14
5,6,6,2001-11-07,29-118,IND,,SAC,W (+12),0,19:00,3,5,.600,0,0,,0,0,,1,2,3,2,4,0,1,2,6,8.6,+19
6,7,7,2001-11-09,29-120,IND,,NYK,W (+8),0,20:00,5,7,.714,0,1,.000,3,3,1.000,0,3,3,4,2,1,2,3,13,13.3,+7
7,8,8,2001-11-10,29-121,IND,,POR,W (+9),0,30:00,3,7,.429,1,1,1.000,8,9,.889,1,1,2,6,2,0,1,1,15,16.7,+12
8,9,9,2001-11-13,29-124,IND,,NJN,L (-9),0,21:00,3,8,.375,0,1,.000,2,2,1.000,0,1,1,1,0,0,2,2,8,1.8,-6
9,10,10,2001-11-14,29-125,IND,@,BOS,L (-8),0,16:00,1,6,.167,0,0,,0,0,,1,1,2,4,1,0,0,1,2,2.6,-3
10,11,11,2001-11-16,29-127,IND,,MIN,L (-7),0,3:00,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,0,3,3.0,+1
11,12,12,2001-12-01,29-142,IND,@,UTA,W (+3),0,22:00,6,9,.667,0,1,.000,0,0,,0,0,0,4,3,0,2,3,12,10.7,-2
12,13,13,2001-12-02,29-143,IND,@,LAC,L (-31),0,16:00,1,7,.143,0,1,.000,0,0,,1,1,2,5,1,0,3,1,2,-0.4,-16
13,14,14,2001-12-08,29-149,IND,@,NYK,L (-2),0,17:00,1,4,.250,0,0,,0,0,,0,0,0,0,1,0,1,0,2,-0.4,-18
14,15,15,2001-12-13,29-154,IND,,HOU,W (+2),0,20:00,4,10,.400,0,1,.000,3,4,.750,0,0,0,3,0,0,1,0,11,6.3,+4
15,16,16,2001-12-15,29-156,IND,@,MIL,L (-20),0,18:00,2,5,.400,0,0,,2,2,1.000,0,0,0,4,1,0,0,4,6,5.5,-5
16,17,17,2001-12-18,29-159,IND,@,ATL,W (+3),0,20:00,2,2,1.000,0,0,,0,0,,0,0,0,4,1,0,2,3,4,4.0,-2
17,18,18,2001-12-19,29-160,IND,,TOR,L (-12),0,17:00,1,3,.333,1,1,1.000,0,0,,0,2,2,3,0,0,0,0,3,4.0,-11
18,19,19,2001-12-21,29-162,IND,,NJN,W (+6),0,20:00,1,6,.167,0,2,.000,2,2,1.000,0,0,0,3,3,0,2,4,4,1.7,-4
19,20,20,2001-12-22,29-163,IND,@,CLE,W (+6),0,12:00,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.0,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2001-12-26,29-167,IND,@,ORL,W (+7),0,15:00,0,3,.000,0,0,,0,0,,1,1,2,2,1,0,0,0,0,1.3,-7
22,22,22,2001-12-27,29-168,IND,,WAS,W (+27),0,22:00,3,5,.600,0,0,,2,2,1.000,0,0,0,3,1,0,1,0,8,7.8,-3
23,23,23,2001-12-29,29-170,IND,@,NJN,L (-5),0,29:00,3,11,.273,0,1,.000,0,0,,0,1,1,6,1,0,2,4,6,1.4,+1
24,24,24,2001-12-31,29-172,IND,,MIA,L (-2),0,18:00,2,3,.667,0,0,,1,1,1.000,0,0,0,7,3,0,1,2,5,9.8,+10
25,25,25,2002-01-04,29-176,IND,@,SAS,W (+10),0,12:00,0,4,.000,0,1,.000,1,2,.500,0,1,1,5,0,1,0,2,1,1.5,-2
