,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-10-30,31-338,UTA,@,NOH,L (-25),0,13:00,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,2,0,2,-0.4,-14
1,2,2,2002-10-31,31-339,UTA,@,ATL,L (-7),0,8:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,0.0,+4
2,3,3,2002-11-03,31-342,UTA,@,SEA,L (-14),0,19:00,1,6,.167,0,0,,0,0,,0,2,2,0,0,0,0,2,2,-2.0,-4
3,4,4,2002-11-06,31-345,UTA,,DET,L (-2),1,15:00,1,4,.250,0,0,,3,4,.750,2,0,2,1,2,0,4,2,5,1.5,-13
4,5,5,2002-11-08,31-347,UTA,,ATL,W (+13),0,12:00,0,1,.000,0,0,,0,0,,1,1,2,2,1,2,1,0,0,3.1,+9
5,6,6,2002-11-11,31-350,UTA,@,BOS,L (-17),0,6:00,0,0,,0,0,,0,2,.000,0,2,2,0,0,0,1,1,0,-1.6,+1
6,7,7,2002-11-15,31-354,UTA,@,DET,L (-11),0,18:00,0,0,,0,0,,0,0,,0,2,2,2,0,0,3,3,0,-2.2,+3
7,8,8,2002-11-23,31-362,UTA,,CHI,W (+20),0,1:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+6
8,9,9,2002-11-30,32-004,UTA,@,SAS,L (-22),0,8:00,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,1,0,2,0.6,-2
9,10,10,2002-12-06,32-010,UTA,,MEM,W (+33),0,7:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-2
10,11,11,2002-12-08,32-012,UTA,@,LAL,L (-9),0,22:00,1,4,.250,0,0,,2,2,1.000,2,2,4,1,0,0,2,2,4,1.5,+5
11,12,12,2002-12-12,32-016,UTA,,NOH,L (-5),0,8:00,1,4,.250,0,0,,0,0,,0,0,0,1,0,1,1,1,2,-0.4,-3
12,13,13,2002-12-14,32-018,UTA,,SAC,L (-2),0,22:00,4,6,.667,0,0,,4,7,.571,2,2,4,0,0,0,0,6,12,7.8,+14
13,14,14,2002-12-18,32-022,UTA,,ORL,L (-7),0,15:00,1,3,.333,0,0,,0,0,,0,2,2,1,1,0,3,2,2,-1.2,+3
14,15,15,2002-12-22,32-026,UTA,@,MEM,W (+29),0,13:00,3,4,.750,0,0,,0,1,.000,1,2,3,0,2,0,1,0,6,6.3,0
15,16,16,2002-12-23,32-027,UTA,@,HOU,W (+5),0,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,3,0,2,-1.0,-6
16,17,17,2002-12-27,32-031,UTA,@,POR,L (-5),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-6
17,18,18,2002-12-28,32-032,UTA,,PHI,W (+29),0,7:00,1,2,.500,0,0,,2,4,.500,0,2,2,0,1,0,0,1,4,3.4,-4
18,19,19,2002-12-30,32-034,UTA,,TOR,W (+22),0,4:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-1
19,20,20,2003-01-04,32-039,UTA,@,MIN,W (+8),0,19:00,4,10,.400,0,0,,1,1,1.000,2,1,3,2,1,1,3,3,9,4.2,+25
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2003-01-06,32-041,UTA,@,CHI,L (-15),0,10:00,2,5,.400,0,0,,1,2,.500,0,0,0,1,0,0,1,1,5,1.2,-5
22,22,22,2003-01-08,32-043,UTA,,PHO,W (+6),0,8:00,2,5,.400,0,0,,0,0,,1,0,1,1,0,0,1,0,4,1.7,0
23,23,23,2003-01-10,32-045,UTA,,MIA,W (+16),0,14:00,0,1,.000,0,0,,0,2,.000,2,1,3,2,0,0,0,0,0,1.6,+9
24,24,24,2003-01-12,32-047,UTA,@,PHO,L (-8),0,9:00,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,3.0,-1
25,25,25,2003-01-16,32-051,UTA,,SEA,W (+7),0,1:00,0,0,,0,0,,1,4,.250,0,1,1,0,0,0,0,0,1,0.1,0
26,26,26,2003-01-18,32-053,UTA,,CLE,W (+17),0,18:00,1,1,1.000,0,0,,4,6,.667,1,0,1,0,0,0,0,1,6,5.2,0
27,27,27,2003-01-20,32-055,UTA,,NJN,W (+3),0,13:00,0,4,.000,0,0,,0,2,.000,0,1,1,0,0,1,1,1,0,-4.0,0
28,28,28,2003-01-25,32-060,UTA,@,GSW,L (-13),0,9:00,0,3,.000,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-0.4,-1
29,29,29,2003-01-29,32-064,UTA,,POR,W (+24),0,3:00,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,2.3,+5
30,30,30,2003-02-11,32-077,UTA,@,HOU,W (+2),0,3:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,+2
31,31,31,2003-02-12,32-078,UTA,,HOU,L (-30),0,8:00,1,3,.333,0,0,,0,0,,1,0,1,0,0,1,0,1,2,1.3,-6
32,32,32,2003-02-14,32-080,UTA,,WAS,W (+32),0,8:00,0,1,.000,0,0,,0,2,.000,0,1,1,2,0,0,0,2,0,-0.6,-7
33,33,33,2003-02-19,32-085,UTA,,LAL,L (-6),0,3:00,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
34,34,34,2003-02-22,32-088,UTA,,DEN,W (+10),0,13:00,1,4,.250,0,0,,2,4,.500,2,2,4,0,0,0,1,1,4,1.4,+3
35,35,35,2003-02-24,32-090,UTA,@,MEM,L (-11),0,8:00,1,5,.200,0,0,,0,0,,1,0,1,0,0,0,0,2,2,-1.2,-1
36,36,36,2003-02-26,32-092,UTA,@,MIN,L (-7),0,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
37,37,37,2003-02-28,32-094,UTA,@,PHI,L (-21),0,12:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.2,-2
38,38,38,2003-03-02,32-096,UTA,@,NJN,W (+1),0,7:00,0,3,.000,0,0,,1,2,.500,0,0,0,0,1,0,0,0,1,-0.5,+12
39,39,39,2003-03-07,32-101,UTA,,SAC,L (-3),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
40,40,40,2003-03-08,32-102,UTA,@,DAL,L (-24),0,20:00,0,4,.000,0,0,,0,0,,1,3,4,1,0,0,1,2,0,-2.3,-3
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2003-03-14,32-108,UTA,@,IND,L (-20),0,6:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,0,1,1,0.5,-2
43,42,42,2003-03-16,32-110,UTA,@,CLE,L (-27),0,12:00,0,5,.000,0,0,,0,0,,1,1,2,2,0,0,0,1,0,-1.5,-12
