,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2003-02-12,27-259,TOR,,ATL,W (+1),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
1,2,2,2003-02-14,27-261,TOR,,GSW,L (-4),0,12:00,3,3,1.0,0,0,,1,2,0.5,1,5,6,0,0,3,1,2,7,8.2,9
2,3,3,2003-02-16,27-263,TOR,,ORL,W (+2),0,14:00,3,3,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,6,4.6,-1
3,4,4,2003-02-19,27-266,TOR,,DET,L (-5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-5
4,5,5,2003-02-28,27-275,TOR,@,BOS,L (-5),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-1
5,6,6,2003-03-02,27-277,TOR,,BOS,W (+12),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-2
6,7,7,2003-03-08,27-283,TOR,@,ATL,W (+9),0,1:00,0,1,0.0,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-2
7,8,8,2003-03-09,27-284,TOR,,MEM,L (-13),0,2:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
8,9,9,2003-03-26,27-301,TOR,,CLE,W (+6),0,7:00,0,2,0.0,0,0,,1,1,1.0,0,0,0,0,0,0,1,2,1,-2.2,-11
9,10,10,2003-03-28,27-303,TOR,,NOH,L (-9),0,9:00,1,2,0.5,0,0,,0,0,,1,0,1,0,0,0,0,0,2,1.7,0
10,11,11,2003-04-01,27-307,TOR,,DET,L (-7),0,11:00,1,2,0.5,0,0,,2,2,1.0,0,1,1,0,2,0,2,2,4,2.5,-1
11,12,12,2003-04-02,27-308,TOR,@,DET,W (+11),0,2:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-4
12,13,13,2003-04-04,27-310,TOR,,SAS,L (-26),0,15:00,3,5,0.6,0,0,,0,1,0.0,2,3,5,0,0,3,0,0,6,7.7,-1
13,14,14,2003-04-06,27-312,TOR,,NJN,L (-9),0,8:00,2,2,1.0,0,0,,0,0,,0,0,0,0,0,1,0,1,4,3.7,-4
14,15,15,2003-04-08,27-314,TOR,@,MIA,L (-6),0,3:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,0,1,2,2.0,-3
15,16,16,2003-04-09,27-315,TOR,@,ORL,L (-6),0,14:00,1,2,0.5,0,0,,6,6,1.0,0,9,9,0,1,3,1,1,8,11.4,4
