,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2002-11-01,23-278,CHI,,NOH,W (+5),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
1,2,2,2002-11-04,23-281,CHI,@,TOR,L (-4),0,6:00,1,3,.333,0,0,,0,0,,3,1,4,0,0,0,1,0,2,1.7,-6
2,3,3,2002-11-06,23-283,CHI,,BOS,L (-22),0,9:00,1,3,.333,0,0,,1,2,.500,0,1,1,0,0,0,0,1,3,0.8,+8
3,4,4,2002-11-08,23-285,CHI,,DAL,L (-27),0,18:00,5,8,.625,0,0,,0,4,.000,4,6,10,0,0,0,2,1,10,7.0,-7
4,5,5,2002-11-09,23-286,CHI,,NJN,W (+7),0,20:00,2,6,.333,0,0,,2,4,.500,1,2,3,0,1,0,1,5,6,1.1,+10
5,6,6,2002-11-13,23-290,CHI,@,MIL,L (-7),0,23:00,5,9,.556,0,0,,4,6,.667,3,2,5,1,0,2,2,4,14,10.1,+3
6,7,7,2002-11-15,23-292,CHI,@,NOH,L (-18),0,15:00,4,4,1.000,0,0,,3,3,1.000,2,1,3,0,0,0,2,5,11,7.5,-3
7,8,8,2002-11-16,23-293,CHI,,MEM,W (+18),0,25:00,1,7,.143,0,0,,0,0,,5,1,6,3,0,0,1,4,2,0.8,+14
8,9,9,2002-11-19,23-296,CHI,@,SAC,L (-13),0,18:00,6,10,.600,0,0,,5,7,.714,4,1,5,0,1,1,0,4,17,14.8,+2
9,10,10,2002-11-20,23-297,CHI,@,GSW,L (-6),0,9:00,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,4,2,-1.0,0
10,11,11,2002-11-22,23-299,CHI,@,LAL,L (-13),0,22:00,2,7,.286,0,0,,1,3,.333,2,0,2,0,0,0,1,3,5,-0.7,-9
11,12,12,2002-11-23,23-300,CHI,@,UTA,L (-20),0,15:00,2,6,.333,0,0,,1,2,.500,2,2,4,0,0,3,1,2,5,3.5,-19
12,13,13,2002-11-27,23-304,CHI,@,BOS,L (-10),0,12:00,1,5,.200,0,0,,0,0,,0,3,3,1,0,1,1,2,2,-0.6,+6
13,14,14,2002-12-03,23-310,CHI,,NOH,L (-25),0,13:00,1,3,.333,0,0,,4,4,1.000,0,1,1,0,0,2,0,2,6,5.2,-9
14,15,15,2002-12-10,23-317,CHI,,ORL,W (+20),0,3:00,0,1,.000,0,0,,3,4,.750,1,0,1,0,0,0,0,0,3,2.6,+3
15,16,16,2002-12-20,23-327,CHI,@,IND,L (-15),0,3:00,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,0.3,-4
16,17,17,2002-12-21,23-328,CHI,,IND,W (+7),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
17,18,18,2002-12-23,23-330,CHI,@,NJN,L (-16),0,14:00,2,2,1.000,0,0,,1,2,.500,1,3,4,0,0,0,1,6,5,2.2,+1
18,19,19,2002-12-27,23-334,CHI,,MIN,L (-13),0,7:00,3,4,.750,0,0,,0,0,,0,0,0,0,1,0,0,1,6,5.0,+10
19,20,20,2003-01-02,23-340,CHI,,WAS,L (-25),0,3:00,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,4,4.0,-3
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2003-01-08,23-346,CHI,@,WAS,L (-3),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+4
22,22,22,2003-01-10,23-348,CHI,@,MIL,L (-8),0,5:00,2,4,.500,0,0,,0,0,,1,1,2,0,0,0,1,1,4,1.6,-4
23,23,23,2003-01-13,23-351,CHI,,NYK,W (+7),0,8:00,1,1,1.000,0,0,,0,0,,0,2,2,1,0,2,0,1,2,4.0,+9
