,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2003-10-29,24-091,UTA,,POR,W (+7),1,42:00,7,13,.538,0,1,.000,4,4,1.000,0,0,0,13,3,0,2,2,18,21.0,+13
1,2,2,2003-11-05,24-098,UTA,,PHO,W (+11),1,31:00,6,10,.600,0,2,.000,2,2,1.000,0,2,2,4,0,0,1,3,14,10.6,+3
2,3,3,2003-11-07,24-100,UTA,@,GSW,L (-6),1,28:00,6,16,.375,1,4,.250,0,0,,0,3,3,10,2,0,2,4,13,10.5,-14
3,4,4,2003-11-08,24-101,UTA,,MEM,W (+7),1,25:00,3,7,.429,0,0,,3,5,.600,0,0,0,6,0,0,4,1,9,4.3,+3
4,5,5,2003-11-10,24-103,UTA,@,SAS,L (-9),1,22:00,4,7,.571,0,0,,2,2,1.000,0,3,3,4,1,0,2,4,10,7.8,-3
5,6,6,2003-11-12,24-105,UTA,@,NOH,L (-7),1,31:00,4,10,.400,0,1,.000,1,2,.500,0,3,3,7,1,0,3,3,9,5.8,-7
6,7,7,2003-11-14,24-107,UTA,@,MIN,W (+8),1,39:00,11,16,.688,0,2,.000,8,9,.889,0,6,6,4,3,0,2,3,30,27.2,+14
7,8,8,2003-11-15,24-108,UTA,@,MIL,L (-5),1,31:00,8,15,.533,3,4,.750,2,2,1.000,1,2,3,3,2,0,3,5,21,14.1,-4
8,9,9,2003-11-17,24-110,UTA,,ORL,W (+2),1,37:00,6,15,.400,0,1,.000,4,6,.667,0,2,2,5,0,0,0,1,16,10.8,+14
9,10,10,2003-11-19,24-112,UTA,,SAC,L (-8),1,33:00,8,16,.500,0,2,.000,9,11,.818,2,3,5,8,3,1,4,3,25,22.6,+1
10,11,11,2003-11-21,24-114,UTA,,MIL,W (+9),1,18:00,3,5,.600,0,0,,0,0,,0,1,1,3,0,0,1,1,6,4.7,+11
11,12,12,2003-12-12,24-135,UTA,,SAC,L (-7),1,16:00,1,4,.250,0,0,,0,0,,0,0,0,4,0,0,1,2,2,0.6,-4
