,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-03,27-328,POR,@,GSW,W (+3),1,29:00,8,11,.727,0,0,,2,2,1.000,2,3,5,4,1,0,4,2,18,14.8,0
1,2,2,2004-11-05,27-330,POR,,LAC,W (+13),1,44:00,8,17,.471,0,0,,6,7,.857,2,6,8,1,5,2,4,3,22,18.0,+13
2,3,3,2004-11-07,27-332,POR,@,TOR,L (-4),1,29:00,7,13,.538,0,0,,2,2,1.000,2,3,5,0,1,0,1,2,16,11.2,-2
3,4,4,2004-11-09,27-334,POR,@,NJN,L (-4),1,39:00,5,16,.313,0,1,.000,3,4,.750,5,7,12,0,0,0,3,2,13,5.2,-3
4,5,5,2004-11-10,27-335,POR,@,BOS,L (-2),1,28:00,4,8,.500,1,1,1.000,3,5,.600,1,8,9,0,1,0,1,2,12,9.5,-7
5,6,6,2004-11-13,27-338,POR,,TOR,W (+3),1,35:00,6,9,.667,1,1,1.000,2,2,1.000,2,5,7,0,0,0,2,5,15,10.0,-3
6,7,7,2004-11-17,27-342,POR,,MEM,L (-19),1,24:00,4,6,.667,0,0,,2,2,1.000,0,4,4,1,1,2,0,3,10,10.5,-13
7,8,8,2004-11-19,27-344,POR,,MIL,W (+12),1,32:00,7,12,.583,1,1,1.000,2,2,1.000,4,2,6,0,1,0,4,4,17,10.2,+9
8,9,9,2004-11-21,27-346,POR,,HOU,L (-4),1,38:00,2,6,.333,0,0,,6,6,1.000,2,4,6,2,0,0,1,3,10,8.4,-1
9,10,10,2004-11-23,27-348,POR,@,MIA,W (+12),1,27:00,4,8,.500,0,0,,8,8,1.000,3,5,8,2,0,1,0,2,16,16.9,+7
10,11,11,2004-11-24,27-349,POR,@,ORL,W (+6),1,34:00,6,12,.500,0,0,,0,0,,5,9,14,0,0,0,3,2,12,8.4,+8
11,12,12,2004-11-26,27-351,POR,@,DAL,L (-9),1,32:00,5,12,.417,0,2,.000,2,2,1.000,0,6,6,2,2,1,3,4,12,6.9,-10
12,13,13,2004-11-28,27-353,POR,,NJN,W (+12),1,34:00,4,11,.364,0,0,,9,9,1.000,5,5,10,0,1,1,2,3,17,14.4,+10
13,14,14,2004-11-30,27-355,POR,,SEA,W (+6),1,40:00,7,15,.467,1,3,.333,10,10,1.000,2,3,5,1,1,0,0,0,25,21.3,+7
14,15,15,2004-12-04,27-359,POR,@,SEA,L (-10),1,41:00,3,8,.375,1,2,.500,7,8,.875,2,7,9,1,0,1,1,2,14,12.3,0
15,16,16,2004-12-05,27-360,POR,,PHO,L (-22),1,35:00,7,11,.636,0,0,,1,1,1.000,3,8,11,3,3,1,5,4,15,13.8,-5
