,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-03-02,31-253,CHA,@,NOH,L (-9),0,3:00,0,0,,0,0,,0,0,,1,2,3,1,1,0,1,0,0,2.0,4
1,2,2,2005-03-04,31-255,CHA,@,BOS,L (-20),0,17:00,3,7,0.429,2,3,0.667,1,2,0.5,2,3,5,2,1,0,3,2,9,5.8,-16
2,3,3,2005-03-05,31-256,CHA,,WAS,L (-2),0,13:00,1,1,1.0,1,1,1.0,0,0,,0,1,1,2,1,0,2,3,3,2.2,0
3,4,4,2005-03-08,31-259,CHA,@,MIN,L (-5),0,11:00,1,5,0.2,0,1,0.0,0,0,,0,0,0,1,0,0,0,3,2,-1.6,-15
4,5,5,2005-03-11,31-262,CHA,@,PHI,L (-32),0,27:00,2,5,0.4,0,0,,1,2,0.5,1,3,4,7,1,0,2,5,5,5.4,-15
5,6,6,2005-03-16,31-267,CHA,@,DEN,L (-19),0,12:00,0,2,0.0,0,1,0.0,0,0,,1,1,2,0,0,1,3,0,0,-2.7,-5
6,7,7,2005-03-18,31-269,CHA,@,SAS,L (-17),0,8:00,0,1,0.0,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-0.4,3
7,8,8,2005-03-23,31-274,CHA,,PHO,L (-15),0,4:00,0,1,0.0,0,1,0.0,0,0,,0,0,0,2,0,0,1,1,0,-0.7,0
8,9,9,2005-04-01,31-283,CHA,,TOR,L (-12),0,2:00,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1
9,10,10,2005-04-02,31-284,CHA,@,CHI,L (-15),0,3:00,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,1.4,1
10,11,11,2005-04-05,31-287,CHA,,LAC,L (-2),0,17:00,1,5,0.2,1,1,1.0,0,0,,1,3,4,5,1,0,1,4,3,3.4,-13
11,12,12,2005-04-06,31-288,CHA,@,PHI,L (-3),0,28:00,4,5,0.8,3,4,0.75,6,6,1.0,0,0,0,4,1,0,3,5,17,13.9,-1
12,13,13,2005-04-08,31-290,CHA,@,MIL,L (-18),1,20:00,1,6,0.16699999999999998,0,1,0.0,0,0,,0,3,3,4,3,0,0,3,2,3.7,-4
13,14,14,2005-04-13,31-295,CHA,,ATL,W (+21),0,11:00,2,3,0.667,1,2,0.5,0,0,,1,0,1,1,0,0,1,2,5,3.3,3
14,15,15,2005-04-17,31-299,CHA,@,WAS,L (-2),0,6:00,0,1,0.0,0,0,,0,0,,1,1,2,2,0,0,0,0,0,1.7,6
15,16,16,2005-04-19,31-301,CHA,@,MIA,L (-19),0,19:00,1,5,0.2,0,2,0.0,1,2,0.5,0,2,2,3,0,0,1,0,3,1.2,-8
