,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-03,32-346,NYK,@,MIN,L (-6),0,6:00,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,1,1,0,-1.5,-6
1,2,2,2004-11-06,32-349,NYK,,BOS,L (-34),0,14:00,1,1,1.000,0,0,,0,2,.000,2,4,6,0,0,0,1,2,2,1.7,-8
2,3,3,2004-11-12,32-355,NYK,,LAC,W (+14),0,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-5
3,4,4,2004-11-13,32-356,NYK,@,IND,L (-6),0,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
4,5,5,2004-11-23,33-000,NYK,,ATL,W (+16),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+3
5,6,6,2004-11-24,33-001,NYK,@,TOR,L (-23),0,10:00,0,3,.000,0,0,,2,2,1.000,1,1,2,0,0,0,1,1,2,-0.5,-5
6,7,7,2004-12-08,33-015,NYK,@,NOH,W (+7),0,4:00,0,3,.000,0,0,,0,0,,2,0,2,0,0,0,1,0,0,-1.7,-7
7,8,8,2004-12-10,33-017,NYK,@,WAS,L (-2),0,8:00,3,3,1.000,0,0,,0,0,,0,1,1,0,0,0,1,2,6,3.6,+9
8,9,9,2004-12-17,33-024,NYK,@,PHI,W (+6),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,-2
9,10,10,2004-12-21,33-028,NYK,,DAL,L (-29),0,11:00,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,1,0,4,2.4,-14
10,11,11,2004-12-22,33-029,NYK,@,BOS,L (-5),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
11,12,12,2005-01-05,33-043,NYK,@,MIA,L (-8),0,16:00,1,5,.200,0,0,,1,2,.500,1,3,4,1,0,1,1,5,3,-0.5,-2
12,13,13,2005-01-08,33-046,NYK,@,CLE,L (-25),0,13:00,0,1,.000,0,1,.000,2,4,.500,0,1,1,0,0,0,0,0,2,0.8,-6
13,14,14,2005-01-09,33-047,NYK,,POR,W (+8),0,8:00,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,1,0,1.6,+3
14,15,15,2005-01-15,33-053,NYK,@,CHI,L (-2),0,9:00,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,1,1,2,0.9,+1
15,16,16,2005-01-23,33-061,NYK,,MIL,L (-5),0,5:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-2
16,17,17,2005-01-25,33-063,NYK,,PHO,L (-15),0,11:00,1,3,.333,0,0,,0,1,.000,1,1,2,2,0,2,0,3,2,2.5,+3
17,18,18,2005-01-28,33-066,NYK,,CLE,W (+3),0,1:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,+2
18,19,19,2005-01-29,33-067,NYK,@,DET,L (-30),0,9:00,1,1,1.000,0,0,,0,0,,0,3,3,1,0,0,2,0,2,1.3,-3
19,20,20,2005-01-31,33-069,NYK,@,LAC,L (-7),0,7:00,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,-4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2005-02-01,33-070,NYK,@,DEN,L (-20),0,8:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.9,-3
22,22,22,2005-02-07,33-076,NYK,@,UTA,W (+3),0,19:00,0,1,.000,0,0,,1,2,.500,2,0,2,0,0,0,3,4,1,-3.3,+5
23,23,23,2005-02-11,33-080,NYK,@,BOS,L (-17),0,6:00,0,2,.000,0,0,,0,0,,2,0,2,2,0,0,0,1,0,1.0,-3
24,24,24,2005-02-14,33-083,NYK,@,PHI,L (-1),0,7:00,1,1,1.000,0,0,,1,2,.500,1,1,2,1,0,0,1,3,3,1.8,-7
25,25,25,2005-03-01,33-098,HOU,@,CHI,W (+30),0,6:00,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,2,4,2,-1.6,-9
26,26,26,2005-03-16,33-113,HOU,,POR,W (+31),0,6:00,0,4,.000,0,0,,0,0,,0,2,2,1,0,0,0,2,0,-2.3,+3
27,27,27,2005-03-24,33-121,HOU,,CLE,W (+19),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
