,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2004-11-03,21-341,PHO,,ATL,W (+30),0,24:00,3,9,.333,2,5,.400,1,2,.500,1,1,2,3,0,0,2,5,9,2.6,+13
1,2,2,2004-11-05,21-343,PHO,@,PHI,W (+10),0,11:00,1,3,.333,0,1,.000,0,0,,1,1,2,3,0,0,0,2,2,2.6,+8
2,3,3,2004-11-06,21-344,PHO,@,NJN,W (+32),0,10:00,2,2,1.000,1,1,1.000,2,2,1.000,1,1,2,1,1,0,2,2,7,6.3,+5
3,4,4,2004-11-09,21-347,PHO,@,CHI,W (+20),0,10:00,1,2,.500,0,0,,0,0,,2,3,5,0,0,0,2,0,2,1.3,-2
4,5,5,2004-11-13,21-351,PHO,,SAC,L (-2),0,12:00,2,2,1.000,0,0,,0,0,,1,1,2,1,0,0,2,0,4,3.1,-6
5,6,6,2004-11-19,21-357,PHO,,LAL,W (+5),0,9:00,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,0,0,0,-1.1,-5
6,7,7,2004-11-21,21-359,PHO,@,LAC,W (+11),0,10:00,2,4,.500,0,0,,1,2,.500,0,0,0,1,0,0,0,1,5,2.9,-4
7,8,8,2004-11-22,21-360,PHO,,CHI,W (+18),0,19:00,3,9,.333,2,5,.400,2,2,1.000,1,0,1,1,0,1,2,3,10,3.8,+2
8,9,9,2004-11-24,21-362,PHO,,MIL,W (+7),0,22:00,5,8,.625,1,1,1.000,1,1,1.000,0,3,3,3,0,0,0,2,12,10.6,-8
9,10,10,2004-11-30,22-002,PHO,@,UTA,W (+13),0,11:00,1,4,.250,0,2,.000,0,0,,0,0,0,1,1,0,1,3,2,-0.9,-8
10,11,11,2004-12-01,22-003,PHO,,CLE,W (+19),0,18:00,6,11,.545,2,5,.400,1,1,1.000,1,1,2,1,1,1,1,1,15,11.7,0
11,12,12,2004-12-03,22-005,PHO,,MIN,L (-4),0,11:00,1,3,.333,0,1,.000,2,2,1.000,0,1,1,0,1,0,3,0,4,0.6,+3
12,13,13,2004-12-05,22-007,PHO,@,POR,W (+22),0,19:00,1,6,.167,1,4,.250,0,0,,1,0,1,2,0,0,2,5,3,-2.7,0
13,14,14,2004-12-07,22-009,PHO,,GSW,W (+14),0,9:00,1,4,.250,0,3,.000,0,0,,0,0,0,2,0,0,1,2,2,-0.8,+2
14,15,15,2004-12-08,22-010,PHO,@,LAL,W (+3),0,13:00,3,3,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,7,7.8,+1
15,16,16,2004-12-10,22-012,PHO,,CHA,W (+9),0,13:00,2,3,.667,0,0,,0,1,.000,1,0,1,1,0,1,2,1,4,2.0,-6
16,17,17,2004-12-13,22-015,PHO,,ORL,W (+21),0,21:00,6,8,.750,3,4,.750,4,6,.667,1,3,4,4,0,0,0,4,19,17.8,+10
17,18,18,2004-12-15,22-017,PHO,,UTA,W (+22),0,22:00,2,8,.250,2,4,.500,4,4,1.000,1,2,3,1,0,0,2,0,10,5.2,+21
18,19,19,2004-12-17,22-019,PHO,@,SEA,W (+2),0,12:00,2,4,.500,0,1,.000,0,0,,1,0,1,2,1,0,1,2,4,3.3,+8
19,20,20,2004-12-18,22-020,PHO,,WAS,W (+14),0,12:00,1,6,.167,0,2,.000,0,2,.000,0,1,1,0,0,0,1,2,2,-4.1,-4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
