,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-02,29-101,HOU,,SAC,W (+9),1,33:30,3,9,.333,2,6,.333,0,0,,0,2,2,4,1,0,1,0,8,6.3,+2
1,2,2,2005-11-05,29-104,HOU,,NOK,L (-7),1,36:48,5,9,.556,3,4,.750,2,2,1.000,1,4,5,2,1,0,1,3,15,12.8,-11
2,3,3,2005-11-08,29-107,HOU,,ORL,L (-2),1,34:40,4,12,.333,0,3,.000,0,0,,1,6,7,9,0,1,4,3,8,5.5,-12
3,4,4,2005-11-10,29-109,HOU,@,MIA,L (-4),1,35:16,1,9,.111,1,3,.333,0,0,,1,3,4,5,1,0,1,1,3,1.8,+2
4,5,5,2005-11-12,29-111,HOU,@,NJN,W (+8),1,22:14,0,2,.000,0,1,.000,3,4,.750,0,5,5,6,0,0,0,3,3,5.7,-6
5,6,6,2005-11-13,29-112,HOU,@,BOS,L (-20),1,29:16,2,9,.222,1,4,.250,0,0,,0,1,1,1,2,0,1,0,5,1.5,-17
6,7,7,2005-11-15,29-114,HOU,@,MIN,W (+5),1,29:55,5,9,.556,0,2,.000,3,5,.600,1,3,4,3,1,1,1,3,13,11.1,+10
7,8,8,2005-11-17,29-116,HOU,@,SAS,L (-6),1,28:50,1,6,.167,0,2,.000,0,0,,0,3,3,3,1,1,3,4,2,-1.7,-3
8,9,9,2005-12-31,29-160,HOU,,GSW,L (-5),1,35:36,4,9,.444,1,5,.200,0,0,,0,4,4,2,0,2,2,5,9,4.3,-5
9,10,10,2006-01-03,29-163,HOU,@,WAS,W (+12),1,32:45,7,11,.636,3,5,.600,0,0,,0,4,4,10,1,0,1,6,17,17.9,+16
10,11,11,2006-01-05,29-165,HOU,@,CLE,W (+9),1,39:44,5,11,.455,2,6,.333,6,6,1.000,0,4,4,6,4,1,0,1,18,22.0,+16
11,12,12,2006-01-06,29-166,HOU,@,TOR,L (-20),1,35:25,1,5,.200,0,3,.000,0,0,,1,2,3,7,0,0,2,4,2,1.5,-3
12,13,13,2006-01-08,29-168,HOU,,DEN,L (-2),1,44:10,9,16,.563,4,6,.667,2,2,1.000,1,4,5,11,3,0,4,5,24,23.0,+2
13,14,14,2006-01-10,29-170,HOU,@,CHA,L (-5),1,49:37,7,17,.412,4,6,.667,2,2,1.000,1,0,1,10,2,0,2,6,20,16.2,+4
14,15,15,2006-01-11,29-171,HOU,,SAC,L (-8),1,40:52,6,17,.353,2,9,.222,1,2,.500,2,3,5,5,3,0,2,4,15,10.3,-5
15,16,16,2006-01-14,29-174,HOU,,NOK,L (-6),1,42:25,4,11,.364,0,5,.000,3,4,.750,0,7,7,5,3,1,2,6,11,9.4,-5
16,17,17,2006-01-16,29-176,HOU,@,ATL,L (-11),1,44:51,7,17,.412,3,5,.600,2,5,.400,0,0,0,5,0,0,2,4,19,8.6,-3
