,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-12,23-027,CHA,@,MIA,L (-9),0,19:09,2,6,.333,0,0,,4,4,1.000,1,1,2,4,1,1,0,1,8,9.7,+12
1,2,2,2005-11-19,23-034,CHA,@,MIN,L (-13),0,6:19,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,1,1,1,-0.8,+4
2,3,3,2005-11-26,23-041,CHA,,WAS,W (+18),0,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
3,4,4,2005-12-17,23-062,CHA,,DET,L (-25),0,4:28,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1.4,0
4,5,5,2005-12-23,23-068,CHA,,LAC,L (-9),0,3:48,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,1.4,+2
5,6,6,2006-01-07,23-083,CHA,@,ORL,L (-16),0,5:38,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-0.7,+9
6,7,7,2006-01-13,23-089,CHA,,MIL,L (-1),0,5:42,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,2,5,3.6,-7
7,8,8,2006-01-14,23-090,CHA,@,DET,L (-23),0,14:57,2,4,.500,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,1,7,5.6,-3
8,9,9,2006-01-16,23-092,CHA,,NOK,L (-15),0,23:07,2,8,.250,2,5,.400,0,0,,0,1,1,4,0,0,0,2,6,3.5,+2
9,10,10,2006-01-18,23-094,CHA,@,IND,L (-6),0,17:56,4,7,.571,2,3,.667,0,0,,0,3,3,1,1,0,0,1,10,8.9,-1
10,11,11,2006-01-20,23-096,CHA,,ORL,L (-11),0,33:04,4,9,.444,2,6,.333,0,0,,2,2,4,1,0,0,2,3,10,4.8,-2
11,12,12,2006-01-21,23-097,CHA,@,MIL,L (-10),0,10:33,0,7,.000,0,1,.000,2,2,1.000,2,1,3,0,2,0,2,0,2,-1.2,+1
12,13,13,2006-01-24,23-100,CHA,@,SAS,L (-28),0,18:18,0,1,.000,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,2,1.0,-14
13,14,14,2006-01-25,23-101,CHA,@,HOU,L (-24),0,21:28,3,6,.500,0,0,,0,0,,0,2,2,0,0,0,2,1,6,1.2,+3
14,15,15,2006-01-27,23-103,CHA,,MIA,L (-6),0,1:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
15,16,16,2006-01-28,23-104,CHA,@,WAS,L (-10),0,16:37,3,9,.333,2,4,.500,0,0,,1,2,3,0,0,0,0,3,8,3.0,-6
16,17,17,2006-01-30,23-106,CHA,,CLE,L (-12),0,14:07,5,8,.625,0,1,.000,4,5,.800,0,1,1,1,0,0,1,0,14,10.0,+9
17,18,18,2006-02-01,23-108,CHA,,ATL,L (-10),0,16:28,3,7,.429,2,4,.500,0,0,,0,2,2,1,0,0,1,4,8,3.0,-1
18,19,19,2006-02-10,23-117,CHA,,TOR,L (-15),0,20:43,2,5,.400,1,2,.500,1,1,1.000,0,1,1,0,3,0,3,2,6,2.8,+13
19,20,20,2006-02-11,23-118,CHA,@,MIL,L (-6),0,4:38,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,1.0,-12
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-02-13,23-120,CHA,,POR,L (-8),0,9:12,1,3,.333,1,3,.333,1,2,.500,0,1,1,0,0,1,0,0,4,2.9,+3
22,22,22,2006-02-21,23-128,CHA,@,DEN,L (-16),0,2:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
23,23,23,2006-03-03,23-138,CHA,@,DAL,L (-14),0,6:47,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,+1
24,24,24,2006-03-12,23-147,CHA,@,DET,L (-16),0,14:52,3,8,.375,1,3,.333,0,0,,1,2,3,0,0,0,1,2,7,2.1,-1
25,25,25,2006-03-15,23-150,CHA,@,WAS,L (-8),0,5:46,2,5,.400,1,2,.500,2,2,1.000,1,0,1,0,0,0,0,1,7,4.6,-5
26,26,26,2006-03-21,23-156,CHA,,ORL,W (+6),1,13:25,1,4,.250,0,2,.000,0,0,,0,5,5,1,0,0,1,2,2,0.0,0
27,27,27,2006-03-22,23-157,CHA,@,CLE,L (-2),1,39:12,7,16,.438,1,3,.333,2,3,.667,3,3,6,2,1,1,3,3,17,10.1,-3
28,28,28,2006-03-24,23-159,CHA,@,MIA,L (-21),0,15:03,3,5,.600,1,2,.500,0,0,,1,1,2,1,2,0,3,3,7,4.2,-3
29,29,29,2006-03-26,23-161,CHA,@,MEM,L (-7),1,5:29,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,1,0,2,0.7,-1
30,30,30,2006-04-04,23-170,CHA,,MIN,W (+5),0,10:10,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,4.7,-4
31,31,31,2006-04-06,23-172,CHA,@,NJN,L (-11),0,17:27,3,7,.429,1,2,.500,4,5,.800,2,1,3,3,0,0,0,1,11,10.3,+9
32,32,32,2006-04-09,23-175,CHA,@,TOR,W (+6),0,16:36,3,5,.600,0,1,.000,0,0,,0,0,0,0,0,0,2,4,6,0.1,-7
33,33,33,2006-04-12,23-178,CHA,,MEM,L (-8),1,30:41,2,9,.222,0,2,.000,0,0,,2,1,3,1,0,1,0,2,4,0.8,-1
34,34,34,2006-04-14,23-180,CHA,@,ATL,W (+6),1,36:00,6,11,.545,0,1,.000,3,3,1.000,1,5,6,2,0,0,0,3,15,12.1,+11
35,35,35,2006-04-15,23-181,CHA,,IND,W (+1),1,46:57,3,11,.273,1,2,.500,2,4,.500,2,6,8,4,0,0,3,1,9,4.3,+8
36,36,36,2006-04-17,23-183,CHA,@,NYK,W (+7),1,33:46,6,10,.600,3,3,1.000,3,4,.750,2,2,4,0,1,0,3,4,18,11.4,+1
