,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2005-11-02,20-125,NYK,@,BOS,L (-14),0,16:52,2,4,.500,0,0,,1,2,.500,1,2,3,1,2,0,0,2,5,5.8,+8
1,2,2,2005-11-04,20-127,NYK,,WAS,L (-11),0,29:54,4,9,.444,0,0,,0,0,,3,4,7,1,4,0,1,1,8,9.9,+5
2,3,3,2005-11-06,20-129,NYK,,GSW,L (-2),0,27:36,5,10,.500,0,2,.000,1,2,.500,2,4,6,0,1,1,3,1,11,6.5,+6
3,4,4,2005-11-09,20-132,NYK,@,POR,L (-12),0,19:06,1,8,.125,0,0,,2,2,1.000,3,0,3,2,0,0,0,3,4,1.1,-7
4,5,5,2005-11-11,20-134,NYK,@,GSW,L (-2),0,9:13,0,4,.000,0,0,,0,0,,0,0,0,0,2,1,0,0,0,-0.1,0
5,6,6,2005-11-13,20-136,NYK,@,SAC,W (+10),0,33:36,6,10,.600,1,1,1.000,0,0,,1,4,5,6,4,0,3,6,13,13.1,+9
6,7,7,2005-11-14,20-137,NYK,@,UTA,W (+11),0,19:24,1,4,.250,0,0,,2,4,.500,2,2,4,0,0,0,3,1,4,-0.6,-4
7,8,8,2005-11-16,20-139,NYK,@,LAL,L (-5),1,23:05,2,6,.333,0,0,,1,4,.250,2,1,3,3,2,0,1,1,5,4.8,-8
8,9,9,2005-11-18,20-141,NYK,@,DEN,L (-9),0,6:54,0,2,.000,0,0,,0,0,,1,2,3,1,0,0,1,2,0,-1.2,+5
9,10,10,2005-11-20,20-143,NYK,,POR,W (+11),0,11:21,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,1,2,2,-1.2,+3
10,11,11,2005-11-23,20-146,NYK,@,CHA,L (-13),0,13:34,1,2,.500,0,0,,3,4,.750,1,1,2,1,0,0,1,1,5,3.9,-7
11,12,12,2005-11-26,20-149,NYK,,PHI,W (+3),1,26:22,1,4,.250,0,0,,1,3,.333,2,2,4,4,1,1,2,5,3,2.3,-1
12,13,13,2005-11-28,20-151,NYK,@,MIA,L (-13),1,21:21,3,3,1.000,0,0,,0,2,.000,1,1,2,1,2,0,1,4,6,5.4,+11
13,14,14,2005-11-30,20-153,NYK,,CHI,W (+8),0,14:18,2,3,.667,0,0,,2,4,.500,1,3,4,0,1,1,0,0,6,7.2,-1
14,15,15,2005-12-02,20-155,NYK,@,DET,L (-8),0,27:19,3,5,.600,0,0,,0,0,,1,4,5,1,3,1,1,4,6,7.4,+14
15,16,16,2005-12-04,20-157,NYK,,BOS,L (-3),0,21:35,1,1,1.000,0,0,,1,4,.250,3,3,6,0,0,0,2,5,3,0.5,+1
16,17,17,2005-12-06,20-159,NYK,@,SEA,W (+3),0,11:07,0,2,.000,0,0,,2,2,1.000,0,2,2,2,1,0,0,4,2,2.0,+10
17,18,18,2005-12-09,20-162,NYK,@,PHO,L (-4),1,30:34,2,3,.667,0,0,,1,3,.333,3,3,6,0,1,0,3,4,5,2.3,-4
18,19,19,2005-12-12,20-165,NYK,,MIL,L (-20),0,15:48,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,3.3,-6
19,20,20,2005-12-14,20-167,NYK,,ORL,L (-15),1,33:08,5,9,.556,0,0,,0,0,,2,5,7,3,2,0,2,2,10,9.9,-9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2005-12-16,20-169,NYK,@,ATL,L (-11),1,18:42,1,4,.250,0,0,,4,4,1.000,2,1,3,1,3,0,2,3,6,5.8,-3
22,22,22,2005-12-17,20-170,NYK,,IND,L (-6),1,31:18,1,3,.333,0,0,,5,6,.833,3,7,10,2,1,0,1,2,7,9.7,-14
23,23,23,2005-12-21,20-174,NYK,,SAS,L (-13),1,30:09,2,3,.667,0,0,,0,4,.000,0,3,3,2,3,1,1,1,4,5.7,-5
24,24,24,2005-12-23,20-176,NYK,,UTA,W (+8),1,16:40,1,2,.500,0,0,,2,2,1.000,2,2,4,1,2,0,0,2,4,6.9,-3
25,25,25,2005-12-26,20-179,NYK,,NJN,L (-8),1,17:56,2,4,.500,0,0,,2,2,1.000,1,2,3,4,1,0,1,2,6,7.3,-13
26,26,26,2005-12-28,20-181,NYK,@,ORL,L (-10),0,16:25,0,1,.000,0,0,,2,2,1.000,3,2,5,1,0,0,2,3,2,1.5,-2
27,27,27,2005-12-30,20-183,NYK,@,MIL,L (-5),0,11:33,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,1,4,0,-2.4,-6
28,28,28,2006-01-06,20-190,NYK,,WAS,W (+21),0,29:30,3,8,.375,0,0,,2,4,.500,1,5,6,1,0,0,0,2,8,4.9,+25
29,29,29,2006-01-08,20-192,NYK,,SEA,W (+4),0,23:39,1,3,.333,0,0,,2,2,1.000,0,7,7,0,0,1,0,1,4,4.7,+3
30,30,30,2006-01-11,20-195,NYK,,DAL,W (+2),0,0:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
31,31,31,2006-01-15,20-199,NYK,@,TOR,L (-26),0,8:39,0,1,.000,0,0,,2,6,.333,0,1,1,0,2,0,1,1,2,0.6,-1
32,32,32,2006-01-18,20-202,NYK,@,CHI,L (-2),0,17:11,2,4,.500,0,0,,0,0,,2,1,3,2,1,1,3,2,4,3.0,-9
33,33,33,2006-01-19,20-203,NYK,,DET,L (-26),0,17:03,3,4,.750,0,0,,0,0,,1,3,4,0,0,0,4,1,6,1.6,-2
34,34,34,2006-01-21,20-205,NYK,,NOK,L (-11),0,24:56,3,7,.429,0,0,,2,3,.667,1,3,4,2,2,0,3,2,8,5.1,-2
35,35,35,2006-02-03,20-218,NYK,@,TOR,L (-14),0,17:44,0,0,,0,0,,1,4,.250,1,1,2,3,2,1,2,2,1,2.8,0
36,36,36,2006-02-13,20-228,NYK,@,DAL,L (-28),0,15:46,0,4,.000,0,0,,1,2,.500,2,1,3,0,0,0,0,2,1,-1.3,-18
37,37,37,2006-02-28,20-243,ORL,@,LAL,L (-15),0,1:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
38,38,38,2006-03-04,20-247,ORL,@,DEN,L (-16),0,2:05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-1
39,39,39,2006-03-10,20-253,ORL,,CLE,W (+29),0,2:17,0,0,,0,0,,3,4,.750,0,0,0,0,0,0,1,0,3,1.6,+3
40,40,40,2006-03-17,20-260,ORL,,BOS,W (+7),0,10:52,1,1,1.000,0,0,,0,0,,0,1,1,1,0,1,2,1,2,1.0,-1
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2006-03-19,20-262,ORL,@,ATL,L (-1),0,19:36,4,7,.571,0,0,,2,2,1.000,2,6,8,5,1,0,0,1,10,14.0,-10
43,42,42,2006-03-21,20-264,ORL,@,CHA,L (-6),0,19:01,0,2,.000,0,0,,2,4,.500,1,2,3,2,1,0,1,0,2,2.5,-10
44,43,43,2006-03-22,20-265,ORL,,NYK,W (+24),0,21:47,3,9,.333,0,0,,4,5,.800,3,4,7,0,0,0,0,2,10,7.0,+4
45,44,44,2006-03-24,20-267,ORL,@,PHI,W (+16),0,26:21,2,9,.222,0,1,.000,7,8,.875,4,7,11,0,2,0,3,1,11,8.6,+21
46,45,45,2006-03-26,20-269,ORL,,ATL,W (+7),0,12:50,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-1.4,-10
47,46,46,2006-03-28,20-271,ORL,@,CHI,W (+4),0,14:29,1,5,.200,0,0,,1,2,.500,0,5,5,1,1,0,1,2,3,0.9,+10
48,47,47,2006-03-29,20-272,ORL,@,MIN,L (-12),0,10:53,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,0,0,1,3,1.2,-5
49,48,48,2006-03-31,20-274,ORL,,DAL,W (+9),0,15:50,2,4,.500,0,0,,4,4,1.000,0,1,1,0,2,0,0,0,8,8.3,+10
50,49,49,2006-04-05,20-279,ORL,,MIL,W (+3),0,13:56,2,6,.333,0,0,,2,2,1.000,5,3,8,1,1,0,1,2,6,6.9,+4
51,50,50,2006-04-07,20-281,ORL,,DET,W (+2),0,8:36,2,2,1.000,0,0,,0,0,,1,3,4,0,0,0,2,2,4,2.2,-5
52,51,51,2006-04-09,20-283,ORL,@,MIA,W (+9),0,14:58,2,4,.500,0,0,,0,2,.000,0,2,2,2,1,0,0,0,4,4.2,+5
53,52,52,2006-04-10,20-284,ORL,,ATL,W (+17),0,10:02,2,4,.500,0,0,,0,0,,2,3,5,1,0,0,0,0,4,5.0,+4
54,53,53,2006-04-12,20-286,ORL,,TOR,W (+7),0,13:58,0,1,.000,0,0,,4,8,.500,1,2,3,0,1,0,1,3,4,1.8,-15
55,54,54,2006-04-13,20-287,ORL,@,SAS,W (+12),0,12:07,0,1,.000,0,0,,0,0,,0,2,2,0,1,0,0,1,0,0.5,+2
56,55,55,2006-04-15,20-289,ORL,,PHI,W (+5),0,15:20,2,3,.667,0,0,,0,0,,2,1,3,0,0,0,1,1,4,3.0,-5
57,56,56,2006-04-17,20-291,ORL,,CHI,L (-4),0,13:49,2,4,.500,0,1,.000,2,2,1.000,1,2,3,0,1,1,1,3,6,4.8,+5
58,57,57,2006-04-19,20-293,ORL,@,IND,L (-6),0,29:48,5,12,.417,0,0,,3,5,.600,5,7,12,2,2,0,1,2,13,13.0,+13
