,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-03-01,24-008,PHO,,MIL,W (+13),0,1:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
1,2,2,2006-03-09,24-016,PHO,,SAS,L (-24),0,19:27,3,7,0.429,0,1,0.0,3,3,1.0,1,2,3,2,0,0,1,1,9,6.6,-9
2,3,3,2006-03-15,24-022,TOR,,DET,L (-7),0,14:58,2,7,0.28600000000000003,0,1,0.0,0,0,,1,0,1,6,1,0,0,0,4,5.8,6
3,4,4,2006-03-17,24-024,TOR,,MIL,W (+1),0,16:07,2,6,0.33299999999999996,0,1,0.0,0,0,,0,1,1,1,0,0,1,0,4,0.6,-11
4,5,5,2006-03-21,24-028,TOR,@,NYK,W (+5),0,24:28,1,5,0.2,0,2,0.0,2,4,0.5,0,2,2,3,0,0,1,2,4,1.0,-5
5,6,6,2006-03-22,24-029,TOR,@,BOS,L (-14),0,13:15,1,3,0.33299999999999996,0,0,,0,0,,0,0,0,2,3,0,2,0,2,2.7,-6
6,7,7,2006-03-24,24-031,TOR,,MIN,W (+20),0,16:43,2,7,0.28600000000000003,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,0,6,3.3,6
7,8,8,2006-03-26,24-033,TOR,@,MIL,L (-9),0,5:13,0,1,0.0,0,0,,0,0,,1,1,2,1,0,0,0,1,0,0.6,-5
8,9,9,2006-03-29,24-036,TOR,,MIA,L (-4),0,7:35,3,3,1.0,0,0,,0,0,,0,0,0,2,1,0,0,1,6,7.1,0
9,10,10,2006-03-31,24-038,TOR,,PHO,L (-14),0,29:37,7,15,0.467,1,2,0.5,0,0,,1,3,4,2,1,0,3,2,15,7.5,-4
10,11,11,2006-04-02,24-040,TOR,,NOK,L (-7),0,15:29,1,4,0.25,0,0,,0,0,,0,2,2,7,1,0,1,0,2,5.1,3
11,12,12,2006-04-04,24-042,TOR,,BOS,L (-4),0,9:38,1,4,0.25,0,0,,0,0,,1,0,1,6,1,0,0,1,2,5.1,0
12,13,13,2006-04-05,24-043,TOR,@,IND,L (-8),0,20:35,3,9,0.33299999999999996,0,2,0.0,0,0,,1,0,1,3,1,0,0,3,6,3.5,3
13,14,14,2006-04-07,24-045,TOR,@,NOK,L (-6),0,14:07,1,6,0.16699999999999998,0,1,0.0,0,0,,1,0,1,3,0,0,0,1,2,0.6,8
14,15,15,2006-04-09,24-047,TOR,,CHA,L (-6),0,17:08,2,5,0.4,0,0,,1,2,0.5,0,3,3,5,0,0,2,0,5,4.3,-1
15,16,16,2006-04-11,24-049,TOR,@,MIA,L (-9),0,3:33,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,0
16,17,17,2006-04-12,24-050,TOR,@,ORL,L (-7),0,17:15,4,6,0.667,0,1,0.0,0,0,,1,0,1,4,0,0,0,0,8,8.9,-3
17,18,18,2006-04-17,24-055,TOR,,IND,L (-25),0,12:00,1,4,0.25,0,0,,0,0,,0,2,2,1,1,0,2,0,2,-0.1,10
18,19,19,2006-04-19,24-057,TOR,@,CHI,L (-21),0,23:13,3,10,0.3,1,2,0.5,1,1,1.0,1,0,1,2,0,0,2,1,8,1.9,-13
