,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2006-11-01,22-134,NJN,,TOR,W (+10),0,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
1,2,2,2006-11-08,22-141,NJN,,UTA,W (+7),0,2:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
2,3,3,2006-11-10,22-143,NJN,,MIA,L (-7),0,0:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
3,4,4,2006-11-13,22-146,NJN,,SEA,L (-6),0,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-6
4,5,5,2006-11-15,22-148,NJN,,MIL,W (+13),0,0:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
5,6,6,2006-11-17,22-150,NJN,@,IND,W (+9),0,0:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
6,7,7,2006-11-18,22-151,NJN,,POR,L (-18),0,3:27,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+3
7,8,8,2006-11-24,22-157,NJN,@,PHO,L (-6),0,13:43,4,4,1.000,0,0,,0,1,.000,3,1,4,0,1,1,2,2,8,7.7,+16
8,9,9,2006-11-26,22-159,NJN,@,LAL,L (-6),0,3:41,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,2.3,0
9,10,10,2006-11-28,22-161,NJN,,CHA,L (-4),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
10,11,11,2006-11-29,22-162,NJN,@,BOS,W (+3),0,22:33,6,9,.667,0,0,,4,4,1.000,4,4,8,0,0,0,1,4,16,13.5,+11
11,12,12,2006-12-02,22-165,NJN,,PHI,W (+5),0,6:23,1,2,.500,0,0,,0,0,,1,0,1,1,1,0,0,1,2,3.0,-2
12,13,13,2006-12-05,22-168,NJN,,DAL,L (-17),0,3:49,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
13,14,14,2006-12-07,22-170,NJN,,PHO,L (-4),0,3:38,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.3,+4
14,15,15,2006-12-09,22-172,NJN,,BOS,L (-2),0,9:48,2,2,1.000,0,0,,0,2,.000,0,1,1,2,0,0,0,1,4,3.9,-1
15,16,16,2006-12-11,22-174,NJN,,MEM,W (+13),0,1:05,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,0
16,17,17,2006-12-13,22-176,NJN,,MIL,W (+13),0,15:01,3,6,.500,0,0,,0,0,,1,1,2,3,2,0,1,0,6,7.1,+5
17,18,18,2006-12-15,22-178,NJN,@,TOR,L (-12),0,25:22,5,8,.625,0,0,,3,4,.750,2,2,4,0,0,0,0,3,13,9.8,-12
18,19,19,2006-12-16,22-179,NJN,,DET,L (-8),0,7:06,2,3,.667,0,0,,0,0,,2,0,2,0,0,0,0,1,4,3.7,+6
19,20,20,2006-12-18,22-181,NJN,,GSW,W (+8),0,21:23,4,8,.500,0,0,,2,2,1.000,4,2,6,1,1,0,1,0,10,10.1,+2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2006-12-20,22-183,NJN,,CLE,W (+2),0,14:27,3,4,.750,0,0,,0,0,,1,2,3,1,0,0,0,3,6,5.2,+7
22,22,22,2006-12-22,22-185,NJN,,LAL,L (-4),0,13:44,1,2,.500,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.0,-2
23,23,23,2006-12-23,22-186,NJN,@,MIL,L (-11),0,18:01,4,8,.500,0,0,,0,0,,2,0,2,1,0,1,1,1,8,5.4,-2
24,24,24,2006-12-26,22-189,NJN,@,DET,L (-1),0,5:57,1,4,.250,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.8,-6
25,25,25,2006-12-27,22-190,NJN,,HOU,L (-25),0,23:42,5,7,.714,0,0,,3,3,1.000,0,0,0,0,0,0,3,3,13,5.9,-6
26,26,26,2006-12-29,22-192,NJN,@,MIA,W (+10),0,5:06,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.2,-7
