,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2007-10-31,22-354,NOH,,SAC,W (+14),0,11:27,0,1,.000,0,0,,1,2,.500,3,3,6,0,0,1,4,3,1,-1.6,-11
1,2,2,2007-11-02,22-356,NOH,,POR,W (+20),0,16:05,1,2,.500,0,0,,0,0,,1,4,5,1,0,0,2,3,2,0.4,0
2,3,3,2007-11-06,22-360,NOH,@,LAL,W (+14),0,14:36,1,1,1.000,0,0,,1,2,.500,1,2,3,0,1,1,0,0,3,5.3,-3
3,4,4,2007-11-07,22-361,NOH,@,POR,L (-3),0,9:09,2,4,.500,0,0,,3,4,.750,2,1,3,1,1,1,1,3,7,6.5,+2
4,5,5,2007-11-09,22-363,NOH,,SAS,L (-12),0,14:32,4,4,1.000,0,0,,2,2,1.000,2,0,2,0,0,0,1,0,10,9.2,+8
5,6,6,2007-11-11,23-000,NOH,@,PHI,W (+21),0,18:45,2,6,.333,0,0,,2,2,1.000,3,3,6,2,1,0,3,5,6,3.0,-3
6,7,7,2007-11-12,23-001,NOH,@,NJN,W (+2),0,14:29,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,3,0,-3.3,-2
7,8,8,2007-11-14,23-003,NOH,,PHI,W (+19),0,10:27,2,3,.667,0,0,,1,4,.250,0,2,2,0,0,0,2,4,5,-0.5,+6
8,9,9,2007-11-16,23-005,NOH,@,MEM,W (+2),0,10:31,1,2,.500,0,0,,0,0,,0,1,1,1,0,1,2,2,2,-0.1,-13
9,10,10,2007-11-17,23-006,NOH,@,MIN,W (+18),0,9:48,0,2,.000,0,0,,0,0,,0,3,3,0,0,1,1,1,0,-1.2,-6
10,11,11,2007-11-19,23-008,NOH,,ORL,L (-7),0,13:29,1,2,.500,0,0,,2,2,1.000,1,3,4,2,1,0,0,3,4,5.8,+14
11,12,12,2007-11-21,23-010,NOH,,IND,L (-12),1,24:38,2,5,.400,0,0,,2,2,1.000,1,2,3,1,0,0,1,5,6,2.3,-18
12,13,13,2007-11-23,23-012,NOH,@,UTA,L (-28),0,9:19,0,2,.000,0,0,,2,5,.400,1,3,4,0,0,1,1,0,2,0.7,-5
13,14,14,2007-11-24,23-013,NOH,@,LAC,W (+9),0,4:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,+7
14,15,15,2007-11-26,23-015,NOH,,MIN,L (-9),0,7:39,0,1,.000,0,0,,1,2,.500,0,1,1,0,1,0,0,0,1,1.2,-6
15,16,16,2007-11-30,23-019,NOH,@,ATL,W (+6),0,17:28,2,3,.667,0,0,,0,0,,2,5,7,0,1,0,4,3,4,1.4,+1
16,17,17,2007-12-05,23-024,NOH,,DET,L (-15),0,0:54,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-2
17,18,18,2007-12-07,23-026,NOH,,MEM,W (+2),0,8:51,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,1,3,2,0.1,+6
18,19,19,2007-12-09,23-028,NOH,,SEA,W (+3),0,12:23,3,4,.750,0,0,,0,0,,1,2,3,1,0,1,1,2,6,5.3,+8
19,20,20,2007-12-12,23-031,NOH,@,DEN,L (-6),0,14:09,0,2,.000,0,0,,0,0,,0,2,2,1,0,0,0,3,0,-1.3,0
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2007-12-14,23-033,NOH,@,DAL,L (-9),0,6:53,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,2,1,0,-2.4,-3
22,22,22,2007-12-15,23-034,NOH,,PHO,W (+3),0,13:07,5,7,.714,0,0,,1,2,.500,1,2,3,0,0,0,0,1,11,8.6,-2
23,23,23,2007-12-17,23-036,NOH,@,POR,L (-12),0,13:08,2,5,.400,0,0,,1,2,.500,1,1,2,0,0,1,0,0,5,3.6,-5
24,24,24,2007-12-19,23-038,NOH,@,SEA,W (+14),0,13:26,1,3,.333,0,0,,0,0,,1,2,3,0,0,1,1,0,2,1.3,+1
25,25,25,2007-12-22,23-041,NOH,,MIN,W (+34),0,18:46,2,5,.400,0,0,,1,2,.500,2,1,3,0,1,1,1,3,5,3.1,+15
26,26,26,2007-12-26,23-045,NOH,@,MEM,W (+18),0,6:49,1,1,1.000,0,0,,0,0,,0,0,0,0,1,1,0,1,2,3.0,+5
27,27,27,2007-12-28,23-047,NOH,@,CHA,W (+14),0,14:41,0,1,.000,0,0,,2,2,1.000,1,3,4,2,0,0,5,2,2,-1.5,+1
28,28,28,2007-12-29,23-048,NOH,,CLE,W (+10),0,6:19,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-5
