,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2008-10-30,20-177,CHA,@,CLE,L (-17),0,3:11,0,1,.000,0,0,,0,0,,1,1,2,0,2,0,1,0,0,1.3,+4
1,2,2,2008-11-01,20-179,CHA,,MIA,W (+13),0,1:31,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.1,0
2,3,3,2008-11-03,20-181,CHA,,DET,L (-18),0,2:18,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
3,4,4,2008-11-07,20-185,CHA,,NOH,W (+3),0,3:08,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-0.6,+4
4,5,5,2008-11-09,20-187,CHA,,TOR,L (-10),0,4:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+8
5,6,6,2008-11-11,20-189,CHA,,DEN,L (-8),0,4:24,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,-1
6,7,7,2008-11-14,20-192,CHA,,UTA,W (+8),0,7:49,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,1,2,0,-1.5,-3
7,8,8,2008-11-18,20-196,CHA,,DAL,L (-17),0,9:02,2,3,.667,0,0,,0,0,,0,1,1,0,1,0,0,2,4,3.2,+4
8,9,9,2008-11-21,20-199,CHA,@,ATL,L (-5),1,15:06,1,3,.333,0,0,,0,0,,0,1,1,0,0,1,3,4,2,-3.3,+7
9,10,10,2008-11-22,20-200,CHA,,MIL,L (-5),1,12:17,1,5,.200,0,0,,0,0,,1,0,1,0,0,1,1,2,2,-1.5,+8
10,11,11,2008-11-24,20-202,CHA,,PHI,W (+9),1,8:34,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,2,2,2,-2.2,-4
11,12,12,2008-11-26,20-204,CHA,@,TOR,L (-7),1,9:25,3,6,.500,0,0,,0,0,,1,0,1,0,1,0,0,1,6,4.3,-2
12,13,13,2008-11-29,20-207,CHA,,BOS,L (-5),0,4:29,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,2,0.5,-3
13,14,14,2008-12-06,20-214,CHA,,CLE,L (-20),0,11:46,2,4,.500,0,0,,2,4,.500,0,0,0,0,1,1,1,2,6,3.1,+6
14,15,15,2008-12-08,20-216,CHA,@,MIA,L (-4),0,2:05,1,2,.500,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4,2.9,-3
15,16,16,2008-12-10,20-218,CHA,@,NOH,L (-16),0,19:34,5,9,.556,0,0,,2,2,1.000,2,2,4,1,0,0,0,1,12,10.0,-7
16,17,17,2008-12-11,20-219,CHA,@,DAL,L (-5),0,4:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,1,0,-0.4,+5
17,18,18,2008-12-13,20-221,CHA,,DET,L (-4),0,5:21,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+7
18,19,19,2008-12-19,20-227,CHA,@,MEM,W (+29),0,3:53,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,0,6,4.4,+6
19,20,20,2009-01-02,20-241,CHA,@,MIL,L (-28),0,12:00,1,5,.200,0,1,.000,0,0,,0,0,0,0,1,0,0,4,2,-1.7,-9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2009-01-03,20-242,CHA,,MIL,W (+10),0,1:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
22,22,22,2009-01-07,20-246,CHA,@,CLE,L (-30),0,7:58,0,2,.000,0,0,,2,2,1.000,0,3,3,0,0,0,1,3,2,-0.7,-7
23,23,23,2009-01-23,20-262,CHA,,PHO,W (+22),0,8:42,1,3,.333,0,0,,2,2,1.000,0,2,2,1,0,0,0,1,4,3.2,-12
24,24,24,2009-01-28,20-267,CHA,@,POR,L (-14),0,2:55,0,1,.000,0,0,,1,2,.500,0,1,1,0,0,0,0,0,1,0.2,+3
25,25,25,2009-01-30,20-269,CHA,@,DEN,L (-11),0,3:19,1,2,.500,0,0,,2,4,.500,1,0,1,1,1,0,0,0,4,4.6,+3
26,26,26,2009-02-02,20-272,CHA,@,UTA,L (-19),0,0:49,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,0
27,27,27,2009-02-08,20-278,CHA,@,MIA,L (-4),0,5:27,1,3,.333,0,0,,2,2,1.000,1,2,3,0,0,0,0,1,4,3.2,+3
28,28,28,2009-02-09,20-279,CHA,,LAC,W (+21),0,1:59,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,1.0,+1
29,29,29,2009-02-11,20-281,CHA,,WAS,W (+12),0,0:54,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
30,30,30,2009-02-25,20-295,CHA,@,SAC,W (+7),0,0:58,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
31,31,31,2009-03-03,20-301,CHA,,CHI,W (+16),0,3:06,0,2,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,0.5,-1
