,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2008-10-28,26-291,BOS,,CLE,W (+5),0,17:17,4,9,.444,0,2,.000,3,4,.750,1,2,3,1,1,0,0,2,11,8.1,-2
1,2,2,2008-10-31,26-294,BOS,,CHI,W (+16),0,24:36,1,8,.125,0,1,.000,4,4,1.000,1,2,3,1,3,1,1,2,6,4.7,+1
2,3,3,2008-11-01,26-295,BOS,@,IND,L (-16),0,26:30,5,12,.417,0,1,.000,4,4,1.000,0,1,1,0,0,1,3,5,14,3.6,-1
3,4,4,2008-11-04,26-298,BOS,@,HOU,W (+4),0,16:06,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,2,0,1,1,4,4.9,-6
4,5,5,2008-11-05,26-299,BOS,@,OKC,W (+13),0,18:12,4,8,.500,0,1,.000,0,0,,1,1,2,0,1,0,2,3,8,2.8,+4
5,6,6,2008-11-07,26-301,BOS,,MIL,W (+12),0,23:03,4,5,.800,0,0,,5,5,1.000,0,0,0,4,2,0,2,4,13,12.3,+14
6,7,7,2008-11-09,26-303,BOS,@,DET,W (+12),0,27:40,11,16,.688,0,2,.000,1,3,.333,1,4,5,1,2,1,0,2,23,19.9,+10
7,8,8,2008-11-10,26-304,BOS,,TOR,W (+7),0,13:08,0,2,.000,0,1,.000,0,0,,1,1,2,0,1,0,2,2,0,-2.2,-9
8,9,9,2008-11-12,26-306,BOS,,ATL,W (+1),0,14:11,0,4,.000,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,2,-0.1,-14
9,10,10,2008-11-14,26-308,BOS,,DEN,L (-9),0,13:50,0,3,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1,-2.3,-7
10,11,11,2008-11-15,26-309,BOS,@,MIL,W (+5),0,10:16,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,+3
11,12,12,2008-11-18,26-312,BOS,,NYK,W (+9),0,18:29,3,6,.500,0,0,,0,1,.000,0,1,1,1,1,3,2,2,6,3.9,+10
12,13,13,2008-11-20,26-314,BOS,,DET,W (+18),0,27:36,6,7,.857,0,0,,1,2,.500,2,4,6,1,3,2,2,1,13,15.4,+14
13,14,14,2008-11-21,26-315,BOS,@,MIN,W (+17),0,20:50,5,9,.556,1,2,.500,3,4,.750,0,2,2,1,0,2,2,1,14,9.6,+3
14,15,15,2008-11-23,26-317,BOS,@,TOR,W (+15),0,22:04,5,7,.714,0,0,,5,7,.714,0,6,6,2,1,0,2,3,15,12.3,-3
15,16,16,2008-11-26,26-320,BOS,,GSW,W (+8),0,21:04,3,7,.429,0,0,,3,5,.600,1,0,1,0,1,0,0,3,9,5.0,+1
