,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-02-09,21-321,MEM,,ATL,L (-14),0,18:46,2,3,.667,0,0,,0,0,,1,3,4,0,0,0,1,1,4,2.9,-1
1,2,2,2010-02-16,21-328,MEM,,PHO,L (-14),0,18:21,0,5,.000,0,0,,0,0,,2,4,6,1,0,0,1,2,0,-2.0,-5
2,3,3,2010-02-17,21-329,MEM,@,TOR,W (+7),0,14:49,3,5,.600,0,0,,1,2,.500,0,1,1,0,0,0,1,3,7,2.4,-22
3,4,4,2010-02-19,21-331,MEM,,MIA,L (-13),0,7:07,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-1.5,-10
4,5,5,2010-02-21,21-333,MEM,@,NJN,W (+10),0,2:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,1,1,0,-1.4,-6
5,6,6,2010-02-23,21-335,MEM,,LAL,L (-1),0,9:12,1,4,.250,0,0,,0,0,,1,2,3,1,1,0,0,0,2,2.6,+1
6,7,7,2010-02-24,21-336,MEM,@,WAS,W (+5),0,9:13,2,5,.400,0,0,,0,0,,2,3,5,0,1,0,0,1,4,4.2,+9
7,8,8,2010-02-26,21-338,MEM,,CHA,L (-4),0,17:05,1,2,.500,0,0,,0,2,.000,2,3,5,2,2,2,1,1,2,5.9,-1
8,9,9,2010-02-27,21-339,MEM,@,NYK,W (+11),0,8:07,0,2,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-1.2,-8
9,10,10,2010-03-01,21-341,MEM,,POR,L (-10),0,7:03,1,2,.500,0,0,,0,0,,2,1,3,0,0,0,0,1,2,2.3,-2
10,11,11,2010-03-03,21-343,MEM,@,NOH,W (+4),0,6:18,1,2,.500,0,0,,1,2,.500,0,0,0,0,0,0,0,0,3,1.6,+1
11,12,12,2010-03-04,21-344,MEM,@,CHI,W (+9),0,10:53,2,2,1.000,0,0,,0,0,,1,0,1,2,0,0,0,5,4,3.5,0
12,13,13,2010-03-06,21-346,MEM,,SAS,L (-10),0,10:50,1,4,.250,0,0,,2,2,1.000,0,2,2,0,0,1,0,0,4,2.9,-9
13,14,14,2010-03-08,21-348,MEM,,NJN,W (+6),1,17:50,3,4,.750,0,0,,1,2,.500,2,1,3,0,1,0,1,2,7,5.9,0
14,15,15,2010-03-10,21-350,MEM,@,BOS,W (+20),0,2:29,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
15,16,16,2010-03-12,21-352,MEM,,NYK,W (+7),0,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-1
16,17,17,2010-03-13,21-353,MEM,,DEN,L (-17),0,4:12,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,0
17,18,18,2010-03-16,21-356,MEM,,CHI,W (+7),0,9:18,0,1,.000,0,0,,0,0,,1,0,1,2,0,0,0,2,0,0.6,-6
18,19,19,2010-03-17,21-357,MEM,@,HOU,L (-13),0,18:06,4,6,.667,0,0,,1,2,.500,0,1,1,1,0,0,1,3,9,4.8,-7
19,20,20,2010-03-20,21-360,MEM,,GSW,W (+16),0,26:10,8,12,.667,0,0,,0,0,,6,7,13,0,0,3,2,3,16,16.0,+8
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-03-22,21-362,MEM,@,SAC,W (+17),0,23:09,4,6,.667,0,0,,1,4,.250,1,5,6,2,0,1,1,2,9,7.7,+12
22,22,22,2010-03-24,21-364,MEM,@,GSW,L (-18),0,19:27,2,5,.400,0,0,,1,2,.500,1,2,3,0,1,0,2,5,5,0.2,-20
23,23,23,2010-03-28,22-003,MEM,@,MIL,L (-5),0,8:27,1,1,1.000,0,0,,0,0,,1,2,3,0,0,1,0,2,2,2.9,+2
24,24,24,2010-03-31,22-006,MEM,,DAL,L (-4),0,14:48,0,3,.000,0,0,,0,0,,2,2,4,0,1,0,0,2,0,0.1,-8
25,25,25,2010-04-02,22-008,MEM,,NOH,W (+11),0,22:37,4,10,.400,0,1,.000,0,0,,1,4,5,1,1,1,2,4,8,3.3,+2
26,26,26,2010-04-04,22-010,MEM,@,ORL,L (-15),0,24:43,2,8,.250,0,0,,2,2,1.000,2,5,7,1,0,2,3,5,6,1.2,-13
27,27,27,2010-04-06,22-012,MEM,,HOU,L (-10),0,22:19,4,7,.571,0,0,,0,0,,4,8,12,1,0,0,0,2,8,9.8,-1
28,28,28,2010-04-07,22-013,MEM,@,DAL,L (-26),0,14:11,1,2,.500,0,0,,3,4,.750,0,1,1,0,0,0,2,3,5,0.7,-16
29,29,29,2010-04-09,22-015,MEM,@,SAS,W (+8),0,30:43,6,13,.462,0,0,,1,2,.500,1,3,4,0,1,0,0,2,13,7.7,+9
30,30,30,2010-04-10,22-016,MEM,,PHI,L (-19),0,22:56,6,12,.500,0,0,,2,2,1.000,0,2,2,0,3,0,1,1,14,10.2,-3
31,31,31,2010-04-12,22-018,MEM,@,DEN,L (-22),0,23:08,4,13,.308,0,0,,1,2,.500,3,7,10,0,2,2,0,2,9,7.9,-3
32,32,32,2010-04-14,22-020,MEM,@,OKC,L (-9),0,8:04,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-0.4,-3
