,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2009-10-28,21-352,CHA,@,BOS,L (-33),0,27:15,0,5,.000,0,2,.000,1,2,.500,1,1,2,4,1,0,2,1,1,-0.5,-30
1,2,2,2009-10-30,21-354,CHA,,NYK,W (+2),0,39:15,5,9,.556,1,3,.333,4,6,.667,0,1,1,1,0,0,1,3,15,8.7,+3
2,3,3,2009-10-31,21-355,CHA,@,CLE,L (-11),0,28:48,2,5,.400,1,2,.500,6,8,.750,0,2,2,5,0,0,1,0,11,10.6,-2
3,4,4,2009-11-02,21-357,CHA,,NJN,W (+11),0,27:12,6,14,.429,0,4,.000,9,10,.900,0,1,1,2,3,0,3,1,21,14.5,+17
4,5,5,2009-11-06,21-361,CHA,,ATL,W (+20),0,24:13,4,10,.400,2,3,.667,1,1,1.000,0,3,3,3,0,0,1,4,11,6.0,+10
5,6,6,2009-11-07,21-362,CHA,@,CHI,L (-3),0,11:15,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,0,0,-2.7,-16
6,7,7,2009-11-10,22-000,CHA,,ORL,L (-12),0,17:01,2,6,.333,0,1,.000,0,0,,0,0,0,1,1,0,1,0,4,1.3,-17
7,8,8,2009-11-11,22-001,CHA,@,DET,L (-23),0,15:42,0,1,.000,0,1,.000,3,4,.750,0,1,1,3,0,0,2,4,3,0.7,+3
8,9,9,2009-11-14,22-004,CHA,,POR,L (-6),0,19:15,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,1,2,3,-1.6,-4
9,10,10,2009-11-16,22-006,CHA,@,ORL,L (-6),0,12:56,1,4,.250,0,1,.000,0,1,.000,0,3,3,4,1,0,2,1,2,1.5,-12
10,11,11,2009-11-18,22-008,CHA,@,PHI,L (-2),0,20:44,2,6,.333,2,5,.400,0,0,,0,0,0,4,0,0,0,3,6,4.2,0
11,12,12,2009-11-20,22-010,CHA,@,MIL,L (-7),0,12:56,0,3,.000,0,2,.000,1,1,1.000,0,0,0,0,1,0,0,3,1,-1.3,-5
12,13,13,2009-11-22,22-012,CHA,,IND,W (+16),0,18:57,1,2,.500,0,1,.000,0,1,.000,0,2,2,5,1,0,2,2,2,2.9,+5
13,14,14,2009-11-25,22-015,CHA,,TOR,W (+35),0,14:12,2,6,.333,1,2,.500,0,0,,0,3,3,1,1,0,1,1,5,2.8,+10
14,15,15,2009-11-27,22-017,CHA,,CLE,W (+7),0,10:58,3,5,.600,1,1,1.000,0,0,,0,1,1,1,0,0,1,1,7,4.3,+4
15,16,16,2009-11-28,22-018,CHA,@,WAS,W (+16),0,17:25,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,0,3,2,1.1,-6
16,17,17,2009-12-01,22-021,CHA,,BOS,L (-18),0,15:18,1,3,.333,0,1,.000,1,3,.333,0,0,0,1,0,0,2,0,3,-0.8,+1
17,18,18,2009-12-08,22-028,CHA,,DEN,W (+12),0,12:28,0,1,.000,0,0,,0,0,,0,0,0,1,0,1,1,2,0,-1.1,-11
18,19,19,2009-12-11,22-031,CHA,@,SAS,L (-19),0,11:12,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,2.3,-16
19,20,20,2009-12-12,22-032,CHA,@,DAL,L (-1),0,15:21,1,4,.250,1,2,.500,0,1,.000,0,1,1,1,1,0,0,3,3,1.0,+12
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2009-12-15,22-035,CHA,,NYK,W (+7),0,10:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,0
22,22,22,2009-12-16,22-036,CHA,@,IND,L (-3),0,28:38,2,8,.250,2,5,.400,3,3,1.000,0,2,2,6,1,0,1,3,9,7.8,+6
23,23,23,2009-12-19,22-039,CHA,,UTA,L (-8),0,13:43,3,6,.500,1,1,1.000,9,10,.900,0,1,1,1,1,1,0,2,16,14.5,+13
24,24,24,2009-12-20,22-040,CHA,@,NYK,L (-4),0,20:07,2,7,.286,2,4,.500,0,0,,0,1,1,3,0,0,1,2,6,2.5,-3
25,25,25,2009-12-22,22-042,CHA,,DET,W (+12),0,17:48,3,7,.429,1,2,.500,1,2,.500,0,0,0,2,0,0,0,4,8,3.7,+8
26,26,26,2009-12-26,22-046,CHA,@,OKC,L (-7),0,13:31,1,2,.500,1,2,.500,1,2,.500,0,2,2,3,0,0,2,0,4,3.3,0
27,27,27,2009-12-28,22-048,CHA,,MIL,W (+10),0,16:40,2,8,.250,1,5,.200,2,2,1.000,1,1,2,3,1,0,0,1,7,5.9,+5
28,28,28,2009-12-30,22-050,CHA,@,TOR,L (-4),0,16:04,2,7,.286,0,3,.000,0,0,,0,0,0,3,0,0,0,1,4,1.6,-5
29,29,29,2010-01-02,22-053,CHA,@,MIA,W (+10),0,17:52,5,7,.714,3,4,.750,0,0,,0,1,1,1,1,0,1,1,13,10.7,+25
