,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2009-10-28,27-343,TOR,,CLE,W (+10),0,0:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
1,2,2,2009-11-07,27-353,TOR,@,DAL,L (-28),0,5:20,2,2,1.000,0,0,,0,0,,0,0,0,2,0,0,1,1,4,3.4,-7
2,3,3,2009-12-08,28-019,TOR,,MIN,W (+6),0,10:40,1,4,.250,0,3,.000,1,2,.500,0,0,0,0,0,0,0,3,3,-1.0,-8
3,4,4,2009-12-09,28-020,TOR,@,MIL,L (-22),0,15:13,0,3,.000,0,2,.000,2,2,1.000,0,1,1,3,1,0,0,3,2,2.1,-3
4,5,5,2009-12-13,28-024,TOR,,HOU,W (+13),0,9:54,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-2.2,-9
5,6,6,2009-12-15,28-026,TOR,@,MIA,L (-20),0,14:38,4,5,.800,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,9,6.6,-5
6,7,7,2009-12-16,28-027,TOR,@,ORL,L (-19),0,14:57,2,8,.250,0,2,.000,0,0,,0,1,1,2,1,0,0,1,4,1.5,-3
7,8,8,2009-12-18,28-029,TOR,,NJN,W (+23),0,22:41,6,7,.857,2,2,1.000,0,0,,0,6,6,1,3,0,2,3,14,13.8,-4
8,9,9,2009-12-20,28-031,TOR,,NOH,W (+6),0,13:28,3,5,.600,0,2,.000,0,0,,0,1,1,0,1,1,1,0,6,4.7,-5
9,10,10,2009-12-23,28-034,TOR,@,DET,W (+30),0,18:02,1,2,.500,0,1,.000,1,2,.500,0,2,2,1,0,0,2,3,3,-0.3,+7
10,11,11,2009-12-27,28-038,TOR,,DET,W (+7),0,12:04,2,3,.667,0,1,.000,3,4,.750,0,2,2,3,0,0,0,1,7,7.6,+5
11,12,12,2009-12-30,28-041,TOR,,CHA,W (+4),0,11:00,0,1,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,3,0,-0.9,0
12,13,13,2010-01-02,28-044,TOR,@,BOS,L (-7),0,20:15,1,4,.250,1,3,.333,2,2,1.000,0,0,0,3,0,1,2,1,5,3.0,+7
13,14,14,2010-01-03,28-045,TOR,,SAS,W (+5),0,13:36,4,5,.800,0,0,,0,0,,1,1,2,0,1,0,1,0,8,7.1,+5
14,15,15,2010-01-17,28-059,TOR,,DAL,W (+22),0,3:55,0,0,,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2,2.7,-4
15,16,16,2010-02-02,28-075,TOR,@,IND,L (-15),0,5:27,0,2,.000,0,0,,4,4,1.000,1,0,1,1,0,0,0,0,4,4.0,-3
16,17,17,2010-02-03,28-076,TOR,,NJN,W (+9),0,8:28,2,5,.400,1,2,.500,2,2,1.000,0,0,0,1,0,0,0,1,7,4.6,-2
17,18,18,2010-03-01,28-102,TOR,@,HOU,L (-24),0,23:52,5,7,.714,1,1,1.000,4,5,.800,0,3,3,4,4,0,4,5,15,13.4,+2
18,19,19,2010-03-19,28-120,TOR,,OKC,L (-26),0,8:53,2,2,1.000,0,0,,3,4,.750,0,0,0,1,1,0,2,0,7,5.7,+5
19,20,20,2010-03-24,28-125,TOR,,UTA,L (-26),0,3:03,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.8,-2
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2010-04-11,28-143,TOR,,CHI,L (-16),0,6:36,4,4,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,2,0,9,7.2,+7
22,22,22,2010-04-12,28-144,TOR,@,DET,W (+14),0,1:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4
