,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-12-07,28-000,GSW,@,DAL,L (-5),0,16:55,2,4,.500,0,0,,0,0,,0,1,1,0,0,2,0,2,4,2.9,-6
1,2,2,2010-12-08,28-001,GSW,@,SAS,L (-17),0,21:32,3,7,.429,0,0,,0,0,,3,2,5,0,1,0,2,3,6,2.8,-12
2,3,3,2010-12-10,28-003,GSW,,MIA,L (-22),0,19:44,2,5,.400,0,0,,4,6,.667,4,1,5,1,0,0,2,1,8,5.9,-5
3,4,4,2010-12-13,28-006,GSW,@,UTA,L (-13),0,7:39,0,3,.000,0,0,,0,2,.000,1,1,2,0,0,0,0,1,0,-2.3,-3
4,5,5,2010-12-14,28-007,GSW,,MIN,W (+9),0,26:18,3,6,.500,0,0,,1,4,.250,1,2,3,0,0,1,3,2,7,1.0,+22
5,6,6,2010-12-18,28-011,GSW,@,POR,L (-1),1,15:23,1,3,.333,0,0,,1,2,.500,3,1,4,1,0,0,1,4,3,1.4,-8
6,7,7,2010-12-20,28-013,GSW,,HOU,L (-9),1,17:07,3,5,.600,0,0,,0,0,,3,4,7,0,1,0,1,4,6,5.4,-14
7,8,8,2010-12-21,28-014,GSW,@,SAC,W (+8),1,12:54,1,2,.500,0,0,,0,0,,1,2,3,0,0,2,1,6,2,0.3,-6
8,9,9,2010-12-25,28-018,GSW,,POR,W (+7),1,17:20,3,5,.600,0,0,,0,0,,2,0,2,1,0,0,1,0,6,4.8,-1
9,10,10,2010-12-27,28-020,GSW,,PHI,W (+15),1,12:59,2,6,.333,0,0,,0,2,.000,1,2,3,0,1,2,0,1,4,3.1,-1
10,11,11,2010-12-29,28-022,GSW,@,ATL,L (-10),1,22:17,5,7,.714,0,0,,0,3,.000,2,5,7,0,1,0,1,1,10,8.4,-4
11,12,12,2010-12-31,28-024,GSW,@,CHA,W (+1),0,14:10,1,3,.333,0,0,,0,2,.000,3,5,8,1,2,1,1,2,2,4.7,+3
12,13,13,2011-01-01,28-025,GSW,@,MIA,L (-7),0,13:20,2,4,.500,0,0,,0,0,,0,1,1,0,0,0,0,2,4,1.5,-6
13,14,14,2011-01-03,28-027,GSW,@,ORL,L (-20),1,19:36,2,7,.286,0,0,,1,2,.500,2,3,5,2,2,0,0,4,5,4.6,-13
14,15,15,2011-01-05,28-029,GSW,@,NOH,W (+7),0,21:53,3,8,.375,0,0,,1,3,.333,5,7,12,2,0,0,0,4,7,7.2,+4
15,16,16,2011-01-07,28-031,GSW,,CLE,W (+18),0,10:45,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,1,2,1.3,-5
16,17,17,2011-01-09,28-033,GSW,@,LAC,L (-14),0,12:37,2,3,.667,0,0,,0,0,,2,2,4,1,0,0,1,1,4,4.0,+1
17,18,18,2011-01-14,28-038,GSW,,LAC,W (+10),0,4:54,0,0,,0,0,,0,2,.000,0,1,1,0,0,0,0,0,0,-0.5,+4
18,19,19,2011-01-17,28-041,GSW,,NJN,W (+9),0,6:23,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-0.5,+3
19,20,20,2011-01-19,28-043,GSW,,IND,W (+2),0,4:38,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,1,0,-0.1,-9
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2011-01-24,28-048,GSW,,SAS,L (-11),0,6:47,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-0.5,+1
22,22,22,2011-01-26,28-050,GSW,,NOH,L (-9),0,11:17,0,3,.000,0,0,,0,0,,2,3,5,1,0,1,1,0,0,0.6,-3
23,23,23,2011-01-30,28-054,GSW,,UTA,W (+15),0,18:17,2,5,.400,0,0,,0,2,.000,5,6,11,0,0,4,0,2,4,7.8,+8
24,24,24,2011-02-25,28-080,GSW,,ATL,L (-16),0,17:33,4,7,.571,0,0,,0,0,,5,2,7,0,0,1,0,1,8,9.1,+6
25,25,25,2011-02-27,28-082,GSW,@,MIN,L (-3),0,6:45,2,3,.667,0,0,,0,0,,1,0,1,0,0,1,0,3,4,2.9,-2
26,26,26,2011-03-01,28-084,GSW,@,IND,L (-9),0,9:03,1,2,.500,0,0,,1,2,.500,1,1,2,1,0,0,0,2,3,2.5,+9
27,27,27,2011-03-04,28-087,GSW,@,BOS,L (-4),0,17:28,1,3,.333,0,0,,0,0,,3,3,6,0,1,1,0,2,2,4.2,+1
28,28,28,2011-03-06,28-089,GSW,@,PHI,L (-8),0,11:02,4,6,.667,0,0,,2,2,1.000,4,0,4,0,0,0,0,0,10,10.2,+4
29,29,29,2011-03-08,28-091,GSW,@,CLE,W (+10),0,5:57,2,4,.500,0,0,,0,0,,2,0,2,0,0,0,1,2,4,1.6,-1
30,30,30,2011-03-09,28-092,GSW,@,NJN,L (-4),0,11:08,0,2,.000,0,0,,2,4,.500,1,2,3,0,0,2,0,1,2,2.1,-2
31,31,31,2011-03-11,28-094,GSW,,ORL,W (+3),0,3:50,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,0.3,-10
32,32,32,2011-03-13,28-096,GSW,,MIN,W (+23),0,19:02,5,11,.455,0,0,,1,4,.250,2,5,7,0,0,1,0,3,11,6.5,+5
33,33,33,2011-03-14,28-097,GSW,@,SAC,L (-10),0,11:00,0,1,.000,0,0,,0,4,.000,0,1,1,0,0,1,1,2,0,-3.1,-5
34,34,34,2011-03-18,28-101,GSW,@,PHO,L (-11),0,26:14,1,4,.250,0,0,,1,4,.250,1,2,3,2,1,0,0,3,3,1.9,-5
35,35,35,2011-03-20,28-103,GSW,@,DAL,L (-28),0,13:57,1,3,.333,0,0,,0,4,.000,0,4,4,0,1,0,0,1,2,0.5,-15
36,36,36,2011-03-23,28-106,GSW,@,HOU,L (-19),0,15:49,4,5,.800,0,0,,1,5,.200,3,4,7,0,0,1,1,0,9,8.5,-3
37,37,37,2011-03-25,28-108,GSW,,TOR,W (+38),0,23:31,3,5,.600,0,0,,1,2,.500,2,2,4,0,1,0,0,2,7,6.5,+4
38,38,38,2011-03-27,28-110,GSW,,WAS,W (+10),0,9:01,0,2,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-1.9,-2
