,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2010-10-27,31-229,GSW,,HOU,W (+4),0,4:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-3
1,2,2,2010-10-31,31-233,GSW,@,LAL,L (-24),0,20:52,3,10,0.3,1,3,0.33299999999999996,0,0,,1,2,3,1,0,0,1,1,7,1.8,-2
2,3,3,2010-11-03,31-236,GSW,,MEM,W (+6),0,12:29,1,2,0.5,1,2,0.5,0,0,,1,1,2,3,0,0,0,0,3,5.1,7
3,4,4,2010-11-05,31-238,GSW,,UTA,W (+7),0,4:39,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-4
4,5,5,2010-11-07,31-240,GSW,@,DET,L (-5),0,3:32,0,2,0.0,0,2,0.0,0,2,0.0,1,0,1,0,0,0,0,1,0,-1.9,-4
5,6,6,2010-11-11,31-244,GSW,@,CHI,L (-30),0,7:25,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,1,0,0,-0.3,2
6,7,7,2010-11-13,31-246,GSW,@,MIL,L (-7),0,12:26,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,1,0,2,1.6,5
7,8,8,2010-11-21,31-254,GSW,@,LAL,L (-28),0,21:35,2,5,0.4,0,3,0.0,0,0,,1,0,1,3,1,0,2,3,4,1.9,3
8,9,9,2010-11-26,31-259,GSW,@,MEM,L (-5),0,0:59,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
9,10,10,2010-11-27,31-260,GSW,@,MIN,W (+10),0,6:59,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,0,0,2,2.7,-4
10,11,11,2010-12-02,31-265,GSW,,PHO,L (-6),0,3:37,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,1.0,-1
11,12,12,2010-12-05,31-268,GSW,@,OKC,L (-5),0,6:51,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-2
12,13,13,2010-12-13,31-276,GSW,@,UTA,L (-13),0,5:09,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-1
13,14,14,2011-01-22,31-316,GSW,@,LAC,L (-4),0,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
14,15,15,2011-02-03,31-328,GSW,,MIL,W (+6),0,5:39,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
15,16,16,2011-02-10,31-335,GSW,@,PHO,L (-24),0,16:04,2,6,0.33299999999999996,2,4,0.5,0,0,,0,2,2,0,0,1,1,1,6,2.5,-1
16,17,17,2011-02-15,31-340,GSW,,NOH,W (+13),0,18:36,1,4,0.25,1,2,0.5,0,0,,1,2,3,2,1,0,0,4,3,2.7,6
17,18,18,2011-02-16,31-341,GSW,@,UTA,W (+7),0,17:12,1,2,0.5,1,1,1.0,2,2,1.0,0,2,2,1,1,0,0,1,5,5.9,11
18,19,19,2011-02-22,31-347,GSW,,BOS,L (-22),0,2:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-4
