,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-28,23-058,OKC,@,MEM,W (+3),0,7:24,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,0.6,-1
1,2,2,2011-12-31,23-061,OKC,,PHO,W (+10),0,6:21,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,2,2,0.8,-10
2,3,3,2012-01-02,23-063,OKC,@,DAL,L (-13),0,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,0
3,4,4,2012-01-06,23-067,OKC,,HOU,W (+15),0,1:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
4,5,5,2012-01-08,23-069,OKC,,SAS,W (+12),0,6:56,3,3,1.000,0,0,,0,0,,1,0,1,1,0,1,1,0,6,6.2,-11
5,6,6,2012-01-14,23-075,OKC,,NYK,W (+12),0,7:39,1,2,.500,0,0,,3,4,.750,0,1,1,0,1,1,1,2,5,3.8,-12
6,7,7,2012-01-23,23-084,OKC,,DET,W (+20),0,9:55,2,4,.500,0,0,,0,0,,1,5,6,0,2,1,0,1,4,6.5,-4
7,8,8,2012-01-30,23-091,OKC,@,LAC,L (-12),0,1:36,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+2
8,9,9,2012-02-04,23-096,OKC,@,SAS,L (-11),0,2:53,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+6
9,10,10,2012-02-14,23-106,OKC,,UTA,W (+26),0,5:11,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,0,1,4,3.6,+7
10,11,11,2012-02-17,23-109,OKC,,GSW,W (+23),0,21:18,0,2,.000,0,0,,2,2,1.000,0,3,3,1,1,1,0,3,2,2.7,-1
11,12,12,2012-02-20,23-112,OKC,,NOH,W (+8),0,19:07,2,3,.667,0,0,,0,0,,0,3,3,0,1,2,1,2,4,4.2,+2
12,13,13,2012-02-23,23-115,OKC,,LAL,W (+15),0,10:19,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,1.6,-5
13,14,14,2012-03-03,23-124,OKC,@,ATL,L (-7),0,14:28,1,5,.200,0,0,,4,4,1.000,5,2,7,0,0,3,2,2,6,6.3,-2
14,15,15,2012-03-10,23-131,OKC,,CHA,W (+27),0,10:03,3,4,.750,0,0,,0,0,,2,4,6,0,1,0,0,0,6,8.0,+13
15,16,16,2012-03-15,23-136,OKC,@,DEN,W (+13),0,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-5
16,17,17,2012-03-18,23-139,OKC,,POR,W (+16),0,0:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,0
17,18,18,2012-03-21,23-142,OKC,,LAC,W (+23),0,4:17,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,2,2.4,+1
18,19,19,2012-03-25,23-146,OKC,,MIA,W (+16),0,1:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
19,20,20,2012-03-27,23-148,OKC,@,POR,W (+14),0,3:04,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,0.2,-5
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2012-04-01,23-153,OKC,,CHI,W (+14),0,6:19,0,1,.000,0,0,,0,0,,0,0,0,0,0,2,1,0,0,-0.3,-14
22,22,22,2012-04-08,23-160,OKC,,TOR,W (+16),0,2:54,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,+1
23,23,23,2012-04-09,23-161,OKC,@,MIL,W (+20),0,5:06,1,3,.333,0,0,,0,0,,0,1,1,1,0,1,0,0,2,2.0,-6
24,24,24,2012-04-13,23-165,OKC,,SAC,W (+26),0,6:30,0,1,.000,0,0,,0,0,,1,3,4,0,1,1,1,1,0,1.2,-2
25,25,25,2012-04-16,23-168,OKC,@,LAC,L (-15),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
26,26,26,2012-04-24,23-176,OKC,,SAC,W (+8),0,15:31,1,2,.500,0,0,,4,4,1.000,0,3,3,0,0,1,1,5,6,3.6,+15
