,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-26,33-172,DEN,@,DAL,W (+22),0,21:09,0,3,.000,0,0,,4,4,1.000,2,4,6,0,0,0,0,2,4,3.7,-8
1,2,2,2011-12-28,33-174,DEN,,UTA,W (+17),0,14:24,1,4,.250,0,0,,2,2,1.000,3,4,7,0,1,0,1,1,4,4.5,+10
2,3,3,2011-12-29,33-175,DEN,@,POR,L (-9),0,7:28,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,4,2.6,-3
3,4,4,2011-12-31,33-177,DEN,@,LAL,L (-3),0,4:54,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,3,2,1.5,+2
4,5,5,2012-01-01,33-178,DEN,,LAL,W (+9),0,19:36,5,6,.833,0,0,,2,2,1.000,3,6,9,0,1,1,0,1,12,15.0,+17
5,6,6,2012-01-02,33-179,DEN,,MIL,W (+5),0,15:15,0,3,.000,0,0,,0,2,.000,1,2,3,1,0,1,1,1,0,-1.6,-14
6,7,7,2012-01-04,33-181,DEN,,SAC,W (+27),0,18:17,4,5,.800,0,0,,0,0,,2,5,7,0,3,3,1,3,8,11.9,+19
7,8,8,2012-01-06,33-183,DEN,@,NOH,W (+8),0,4:39,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,-7
8,9,9,2012-01-07,33-184,DEN,@,SAS,L (-4),0,4:54,0,0,,0,0,,1,2,.500,0,1,1,0,0,1,0,0,1,1.6,-5
9,10,10,2012-01-09,33-186,DEN,,NOH,L (-13),0,5:26,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0.3,-1
10,11,11,2012-01-11,33-188,DEN,,NJN,W (+8),0,17:47,3,5,.600,0,0,,3,3,1.000,2,4,6,0,2,2,1,1,9,11.3,+10
11,12,12,2012-01-15,33-192,DEN,,UTA,L (-10),0,9:27,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,4,0,3,2,3.2,-2
12,13,13,2012-01-17,33-194,DEN,@,MIL,W (+10),0,21:59,1,2,.500,0,0,,3,6,.500,2,3,5,0,2,0,0,2,5,6.3,-7
13,14,14,2012-01-18,33-195,DEN,@,PHI,W (+4),0,15:13,2,4,.500,0,0,,4,6,.667,1,2,3,0,0,1,0,6,8,4.8,-5
14,15,15,2012-01-20,33-197,DEN,@,WAS,W (+4),0,23:05,2,5,.400,0,0,,3,7,.429,1,7,8,0,0,2,0,2,7,6.1,-6
15,16,16,2012-01-25,33-202,DEN,@,SAC,W (+29),0,17:11,4,4,1.000,0,0,,1,1,1.000,4,1,5,0,2,1,0,1,9,13.2,+2
16,17,17,2012-01-27,33-204,DEN,,TOR,W (+15),0,8:25,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,0,0,1.7,+2
17,18,18,2012-01-31,33-208,DEN,@,MEM,L (-3),0,6:40,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,1,0,2,0.6,+6
18,19,19,2012-02-06,33-214,DEN,,HOU,L (-9),0,19:01,4,4,1.000,0,0,,2,3,.667,2,7,9,0,0,2,2,3,10,10.1,-7
19,20,20,2012-02-08,33-216,DEN,,DAL,L (-10),1,14:02,1,4,.250,0,0,,0,2,.000,0,2,2,0,0,2,1,0,2,-0.2,-13
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2012-02-14,33-222,DEN,,PHO,W (+17),0,21:57,6,9,.667,0,0,,4,6,.667,2,5,7,0,1,6,1,1,16,18.0,+17
22,22,22,2012-02-15,33-223,DEN,@,DAL,L (-18),0,21:40,2,5,.400,0,0,,2,4,.500,5,6,11,0,0,1,1,1,6,7.1,-4
23,23,23,2012-02-17,33-225,DEN,@,MEM,L (-1),0,24:17,3,6,.500,0,0,,1,2,.500,4,3,7,2,0,2,2,3,7,6.9,+5
24,24,24,2012-02-19,33-227,DEN,@,OKC,L (-6),0,29:05,5,6,.833,0,0,,1,2,.500,3,3,6,0,0,3,0,3,11,12.3,+17
