,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-25,27-210,NYK,,BOS,W (+2),1,33:35,10,17,.588,4,7,.571,13,15,.867,1,7,8,3,2,1,5,4,37,29.3,+15
1,2,2,2011-12-28,27-213,NYK,@,GSW,L (-14),1,34:38,3,13,.231,0,4,.000,7,9,.778,0,2,2,1,0,0,1,4,13,3.0,-16
2,3,3,2011-12-29,27-214,NYK,@,LAL,L (-17),1,36:47,8,14,.571,2,4,.500,9,10,.900,1,6,7,5,0,1,5,3,27,20.5,-16
3,4,4,2011-12-31,27-216,NYK,@,SAC,W (+22),1,33:15,6,15,.400,0,3,.000,11,13,.846,1,6,7,5,1,0,0,4,23,19.5,+21
4,5,5,2012-01-02,27-218,NYK,,TOR,L (-5),1,42:14,13,31,.419,4,9,.444,5,8,.625,1,10,11,4,1,0,3,1,35,21.4,-2
5,6,6,2012-01-04,27-220,NYK,,CHA,L (-8),1,34:22,12,24,.500,2,6,.333,6,6,1.000,3,3,6,5,3,0,4,4,32,23.9,-3
6,7,7,2012-01-06,27-222,NYK,@,WAS,W (+3),1,36:03,16,33,.485,2,4,.500,3,5,.600,3,4,7,4,1,0,4,4,37,21.0,+4
7,8,8,2012-01-07,27-223,NYK,@,DET,W (+23),1,31:05,5,14,.357,1,4,.250,2,2,1.000,0,4,4,7,1,3,1,1,13,13.0,+26
8,9,9,2012-01-09,27-225,NYK,,CHA,W (+4),1,38:50,6,18,.333,1,2,.500,9,13,.692,0,4,4,6,2,0,6,5,22,9.6,+4
9,10,10,2012-01-11,27-227,NYK,,PHI,W (+6),1,36:51,9,24,.375,1,4,.250,8,8,1.000,4,5,9,5,3,0,5,3,27,18.4,+5
10,11,11,2012-01-12,27-228,NYK,@,MEM,L (-11),1,19:47,6,11,.545,1,1,1.000,1,1,1.000,0,3,3,2,0,0,1,2,14,9.2,-12
11,12,12,2012-01-16,27-232,NYK,,ORL,L (-9),1,39:14,9,27,.333,1,8,.125,14,16,.875,2,6,8,5,3,0,5,1,33,21.2,+4
12,13,13,2012-01-18,27-234,NYK,,PHO,L (-3),1,38:25,5,22,.227,1,2,.500,1,4,.250,6,5,11,4,2,1,1,1,12,7.2,-2
13,14,14,2012-01-20,27-236,NYK,,MIL,L (-14),1,35:32,11,26,.423,2,6,.333,11,13,.846,3,2,5,2,1,0,4,3,35,20.3,-19
14,15,15,2012-01-21,27-237,NYK,,DEN,L (-5),1,45:02,10,30,.333,1,7,.143,4,6,.667,1,9,10,5,1,0,6,5,25,7.1,-9
15,16,16,2012-01-24,27-240,NYK,@,CHA,W (+33),1,29:38,0,7,.000,0,2,.000,1,1,1.000,0,11,11,4,0,0,1,0,1,1.2,+13
16,17,17,2012-01-25,27-241,NYK,@,CLE,L (-10),1,37:41,5,14,.357,0,3,.000,5,7,.714,0,4,4,6,0,1,2,3,15,9.3,-13
17,18,18,2012-01-31,27-247,NYK,,DET,W (+27),1,32:55,9,14,.643,2,3,.667,5,5,1.000,0,1,1,6,0,0,4,1,25,18.9,+27
18,19,19,2012-02-02,27-249,NYK,,CHI,L (-3),1,39:29,10,26,.385,0,4,.000,6,6,1.000,1,5,6,3,2,0,4,4,26,12.5,+1
19,20,20,2012-02-03,27-250,NYK,@,BOS,L (-2),1,38:12,8,17,.471,1,5,.200,9,10,.900,0,3,3,6,0,1,2,2,26,19.9,-6
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2012-02-04,27-251,NYK,,NJN,W (+7),1,35:07,3,15,.200,1,3,.333,4,4,1.000,2,1,3,3,1,1,2,1,11,4.8,-2
22,22,22,2012-02-06,27-253,NYK,,UTA,W (+11),1,5:49,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,1,2,1.6,+7
23,23,23,2012-02-20,27-267,NYK,,NJN,L (-8),1,37:00,4,11,.364,0,0,,3,6,.500,0,3,3,6,1,0,6,3,11,2.6,-10
24,24,24,2012-02-22,27-269,NYK,,ATL,W (+17),1,27:14,7,16,.438,1,2,.500,0,0,,3,1,4,3,2,1,2,1,15,11.4,+7
25,25,25,2012-02-23,27-270,NYK,@,MIA,L (-14),1,34:51,7,20,.350,1,1,1.000,4,4,1.000,3,4,7,1,0,1,1,4,19,9.9,-15
26,26,26,2012-02-29,27-276,NYK,,CLE,W (+17),1,34:02,9,16,.563,1,3,.333,3,5,.600,1,4,5,4,0,0,0,3,22,17.1,+12
27,27,27,2012-03-04,27-280,NYK,@,BOS,L (-4),1,35:24,8,21,.381,0,1,.000,9,10,.900,4,3,7,2,0,0,3,4,25,13.6,-8
28,28,28,2012-03-06,27-282,NYK,@,DAL,L (-10),1,30:33,2,12,.167,0,3,.000,2,4,.500,2,6,8,1,0,0,2,1,6,-0.9,-18
29,29,29,2012-03-07,27-283,NYK,@,SAS,L (-13),1,38:27,12,24,.500,3,7,.429,0,1,.000,0,2,2,3,2,0,2,5,27,15.3,-11
30,30,30,2012-03-09,27-285,NYK,@,MIL,L (-5),1,36:58,7,17,.412,1,2,.500,7,10,.700,1,4,5,2,1,2,2,1,22,15.0,-5
31,31,31,2012-03-11,27-287,NYK,,PHI,L (-12),1,29:07,5,13,.385,1,4,.250,11,12,.917,6,3,9,3,0,0,1,2,22,19.9,-16
32,32,32,2012-03-12,27-288,NYK,@,CHI,L (-5),1,38:45,8,21,.381,1,3,.333,4,4,1.000,2,6,8,3,2,1,2,4,21,13.9,-3
33,33,33,2012-03-14,27-290,NYK,,POR,W (+42),1,24:37,6,12,.500,3,6,.500,1,2,.500,0,2,2,7,1,0,2,1,16,13.7,+15
34,34,34,2012-03-16,27-292,NYK,,IND,W (+15),1,22:43,4,12,.333,0,3,.000,4,5,.800,2,5,7,5,2,0,0,4,12,11.6,+16
35,35,35,2012-03-17,27-293,NYK,@,IND,W (+14),1,29:40,6,13,.462,1,4,.250,3,7,.429,0,4,4,3,0,0,3,3,16,6.8,+9
36,36,36,2012-03-20,27-296,NYK,,TOR,W (+19),1,31:14,5,15,.333,1,3,.333,6,8,.750,2,6,8,5,3,0,2,3,17,14.2,+28
37,37,37,2012-03-21,27-297,NYK,@,PHI,W (+3),1,33:42,5,15,.333,0,2,.000,0,1,.000,1,4,5,2,0,0,2,4,10,0.8,+1
38,38,38,2012-03-23,27-299,NYK,@,TOR,L (-17),1,30:11,6,15,.400,0,4,.000,0,0,,3,6,9,3,2,1,4,4,12,7.0,-19
39,39,39,2012-03-24,27-300,NYK,,DET,W (+22),1,29:22,5,12,.417,0,1,.000,5,6,.833,1,2,3,1,1,0,1,3,15,9.0,+19
40,40,40,2012-03-26,27-302,NYK,,MIL,W (+9),1,34:55,8,20,.400,0,2,.000,12,12,1.000,1,11,12,1,1,1,3,3,28,19.4,+10
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,41,2012-03-28,27-304,NYK,,ORL,W (+22),1,26:19,9,15,.600,2,5,.400,5,6,.833,1,4,5,6,1,1,3,2,25,21.7,+33
43,42,42,2012-03-30,27-306,NYK,@,ATL,L (-10),1,40:24,11,24,.458,1,4,.250,13,14,.929,3,6,9,2,5,2,5,3,36,28.7,-7
