,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2011-12-26,27-183,MIN,,OKC,L (-4),0,27:08,6,11,.545,1,3,.333,1,1,1.000,0,2,2,2,0,0,0,3,14,9.5,+11
1,2,2,2011-12-27,27-184,MIN,@,MIL,L (-3),0,18:50,1,9,.111,1,1,1.000,6,6,1.000,1,2,3,4,1,0,1,1,9,6.8,+1
2,3,3,2012-01-01,27-189,MIN,,DAL,W (+17),0,16:50,4,11,.364,0,3,.000,0,1,.000,0,3,3,2,0,0,2,1,8,1.4,+6
3,4,4,2012-01-09,27-197,MIN,@,TOR,L (-10),0,17:24,5,9,.556,2,4,.500,4,4,1.000,0,1,1,3,0,0,2,2,16,11.3,+21
4,5,5,2012-01-10,27-198,MIN,,CHI,L (-11),0,17:54,3,8,.375,0,2,.000,4,4,1.000,0,1,1,0,0,0,1,2,10,4.1,-15
5,6,6,2012-01-18,27-206,MIN,,DET,W (+8),0,14:12,2,6,.333,2,4,.500,2,2,1.000,0,1,1,0,0,0,2,0,8,2.9,+3
6,7,7,2012-02-01,27-220,MIN,,IND,L (-10),0,13:46,2,8,.250,0,3,.000,3,4,.750,0,2,2,3,0,0,2,0,7,2.5,-8
7,8,8,2012-02-03,27-222,MIN,@,NJN,W (+3),0,19:17,2,9,.222,1,1,1.000,2,2,1.000,2,1,3,5,1,0,2,0,7,5.7,+8
8,9,9,2012-02-04,27-223,MIN,,HOU,W (+9),0,25:34,4,8,.500,0,2,.000,2,3,.667,0,3,3,3,1,0,1,2,10,7.8,+4
9,10,10,2012-02-07,27-226,MIN,,SAC,W (+2),0,20:39,1,4,.250,0,2,.000,4,4,1.000,0,1,1,3,0,0,0,1,6,5.6,-11
10,11,11,2012-02-08,27-227,MIN,@,MEM,L (-5),0,23:21,4,9,.444,3,6,.500,6,8,.750,0,3,3,6,2,0,2,1,17,16.2,+5
11,12,12,2012-02-10,27-229,MIN,,DAL,L (-7),0,22:29,1,8,.125,1,4,.250,3,4,.750,1,5,6,0,0,0,4,2,6,-2.2,+4
12,13,13,2012-02-11,27-230,MIN,,NYK,L (-2),0,21:20,4,10,.400,1,4,.250,2,2,1.000,1,2,3,5,2,0,5,1,11,7.0,-4
13,14,14,2012-02-13,27-232,MIN,@,ORL,L (-13),0,25:19,4,10,.400,2,5,.400,1,3,.333,0,2,2,1,0,0,7,1,11,-1.3,-6
14,15,15,2012-02-15,27-234,MIN,,CHA,W (+12),0,25:59,4,9,.444,2,3,.667,2,2,1.000,0,2,2,8,0,0,0,1,12,13.1,+8
15,16,16,2012-02-19,27-238,MIN,,PHI,W (+1),0,21:28,6,12,.500,0,1,.000,2,2,1.000,1,0,1,2,0,0,1,2,14,8.3,+2
16,17,17,2012-02-20,27-239,MIN,@,DEN,L (-2),0,13:56,2,7,.286,0,4,.000,2,2,1.000,0,3,3,1,0,0,1,1,6,2.1,-6
17,18,18,2012-02-22,27-241,MIN,,UTA,W (+2),0,26:07,7,12,.583,5,6,.833,3,3,1.000,1,3,4,4,0,0,2,3,22,17.6,+18
18,19,19,2012-02-28,27-247,MIN,@,LAC,W (+12),0,21:38,2,5,.400,0,2,.000,2,2,1.000,0,3,3,7,1,0,2,2,6,7.3,+17
19,20,20,2012-02-29,27-248,MIN,@,LAL,L (-19),0,9:34,0,4,.000,0,0,,0,0,,0,1,1,4,0,0,1,0,0,-0.7,+4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2012-03-03,27-251,MIN,@,POR,W (+12),0,18:48,3,5,.600,0,1,.000,0,0,,0,0,0,2,0,0,2,0,6,3.1,-1
22,22,22,2012-03-05,27-253,MIN,,LAC,W (+1),0,19:58,0,7,.000,0,1,.000,0,0,,0,2,2,5,0,0,2,2,0,-3.6,-3
23,23,23,2012-03-07,27-255,MIN,,POR,W (+12),0,23:39,1,5,.200,0,1,.000,2,2,1.000,1,2,3,7,0,0,2,0,4,5.1,-3
24,24,24,2012-03-12,27-260,MIN,@,PHO,W (+3),0,15:24,1,3,.333,0,1,.000,1,4,.250,0,3,3,8,0,0,0,0,3,6.6,+8
25,25,25,2012-03-15,27-263,MIN,@,UTA,L (-6),0,18:08,4,8,.500,2,3,.667,1,2,.500,0,0,0,4,0,0,5,1,11,4.0,-12
26,26,26,2012-03-16,27-264,MIN,@,LAL,L (-5),0,17:37,4,10,.400,0,3,.000,0,0,,2,3,5,2,0,0,2,4,8,2.7,-4
27,27,27,2012-03-18,27-266,MIN,@,SAC,L (-16),0,14:23,3,7,.429,0,2,.000,0,0,,0,1,1,4,0,0,2,1,6,3.0,-9
28,28,28,2012-03-19,27-267,MIN,@,GSW,W (+4),0,27:24,3,10,.300,0,2,.000,0,0,,1,2,3,10,1,0,2,0,6,7.5,+4
29,29,29,2012-03-21,27-269,MIN,@,SAS,L (-16),0,30:22,7,13,.538,2,4,.500,2,3,.667,0,3,3,11,1,0,4,1,18,16.5,-8
30,30,30,2012-03-23,27-271,MIN,@,OKC,L (-9),0,47:01,10,22,.455,2,5,.400,3,3,1.000,1,9,10,14,3,0,3,3,25,25.6,-5
31,31,31,2012-04-04,27-283,MIN,,GSW,L (-3),1,36:39,6,15,.400,3,5,.600,0,2,.000,2,4,6,8,0,0,7,2,15,6.5,-13
32,32,32,2012-04-07,27-286,MIN,@,NOH,L (-9),1,33:59,4,12,.333,2,4,.500,0,0,,0,1,1,7,0,0,3,1,10,5.0,-14
33,33,33,2012-04-09,27-288,MIN,,PHO,L (-24),1,31:48,7,17,.412,2,6,.333,0,0,,0,3,3,5,1,0,1,2,16,10.5,-18
34,34,34,2012-04-11,27-290,MIN,@,DEN,L (-6),1,36:16,5,13,.385,1,2,.500,1,2,.500,0,6,6,15,1,0,4,2,12,13.0,-11
35,35,35,2012-04-12,27-291,MIN,,LAC,L (-13),1,31:03,4,9,.444,2,4,.500,0,0,,0,2,2,11,0,0,7,4,10,5.0,-15
36,36,36,2012-04-14,27-293,MIN,,OKC,L (-5),1,39:14,9,16,.563,3,5,.600,3,4,.750,0,3,3,10,3,0,3,4,24,22.3,-4
