,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2012-10-31,21-299,POR,,LAL,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
1,2,1,2012-11-02,21-301,POR,@,OKC,L (-14),0,1:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
2,3,2,2012-11-03,21-302,POR,@,HOU,W (+10),0,15:29,2,7,.286,1,3,.333,0,0,,1,3,4,1,1,1,2,1,5,2.5,-6
3,4,3,2012-11-05,21-304,POR,@,DAL,L (-23),0,1:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-6
4,5,4,2012-11-08,21-307,POR,,LAC,L (-13),0,1:34,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,+1
5,6,5,2012-11-10,21-309,POR,,SAS,L (-3),0,2:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-9
6,7,6,2012-11-12,21-311,POR,,ATL,L (-8),0,2:57,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-0.7,-2
7,8,,2012-11-13,21-312,POR,@,SAC,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2012-11-16,21-315,POR,,HOU,W (+2),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,10,7,2012-11-18,21-317,POR,,CHI,W (+8),0,9:11,1,4,.250,0,0,,0,0,,2,1,3,0,0,0,0,1,2,0.9,+1
10,11,8,2012-11-21,21-320,POR,@,PHO,L (-27),0,6:21,0,3,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,0.5,-4
11,12,9,2012-11-23,21-322,POR,,MIN,W (+8),0,5:49,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,1,1,0,-1.8,-5
12,13,10,2012-11-25,21-324,POR,@,BRK,L (-13),0,9:09,1,3,.333,0,0,,0,0,,1,1,2,1,1,0,1,0,2,2.0,+3
13,14,11,2012-11-26,21-325,POR,@,DET,L (-7),0,21:22,5,8,.625,1,2,.500,1,2,.500,0,1,1,0,2,0,0,1,12,9.9,-3
14,15,12,2012-11-28,21-327,POR,@,WAS,L (-2),0,8:03,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0.6,-6
15,16,13,2012-11-30,21-329,POR,@,BOS,L (-18),0,17:00,1,5,.200,0,1,.000,1,2,.500,1,2,3,4,2,0,3,1,3,2.2,-5
16,17,14,2012-12-01,21-330,POR,@,CLE,W (+1),0,12:47,3,5,.600,1,3,.333,0,0,,0,1,1,0,1,1,2,1,7,4.3,-14
17,18,15,2012-12-03,21-332,POR,@,CHA,W (+6),0,11:31,3,5,.600,1,2,.500,0,2,.000,0,1,1,0,1,0,2,1,7,2.8,-8
18,19,16,2012-12-05,21-334,POR,@,IND,L (-7),0,13:52,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,2,1,0,-4.2,-5
19,20,,2012-12-08,21-337,POR,,SAC,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
