,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2012-10-31,36-036,LAC,,MEM,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2012-11-02,36-038,LAC,@,LAL,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2012-11-03,36-039,LAC,,GSW,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2012-11-05,36-041,LAC,,CLE,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
4,5,,2012-11-07,36-043,LAC,,SAS,W (+22),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2012-11-08,36-044,LAC,@,POR,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2012-11-11,36-047,LAC,,ATL,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2012-11-14,36-050,LAC,,MIA,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2012-11-17,36-053,LAC,,CHI,W (+21),Inactive,,,,,,,,,,,,,,,,,,,,,
9,10,,2012-11-19,36-055,LAC,@,SAS,W (+5),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2012-11-21,36-057,LAC,@,OKC,L (-6),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2012-11-23,36-059,LAC,@,BRK,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2012-11-24,36-060,LAC,@,ATL,L (-11),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2012-11-26,36-062,LAC,,NOH,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,1,2012-11-28,36-064,LAC,,MIN,W (+6),1,19:24,1,5,.200,1,5,.200,4,4,1.000,0,0,0,3,1,0,2,0,7,5.0,+4
15,16,2,2012-12-01,36-067,LAC,,SAC,W (+35),1,18:12,2,5,.400,2,4,.500,0,0,,0,2,2,3,1,0,0,1,6,6.6,+18
16,17,3,2012-12-03,36-069,LAC,@,UTA,W (+1),1,21:58,2,5,.400,1,2,.500,4,5,.800,0,1,1,1,0,0,2,1,9,4.5,-5
17,18,,2012-12-05,36-071,LAC,,DAL,W (+22),Inactive,,,,,,,,,,,,,,,,,,,,,
