,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,,2013-10-30,23-024,TOR,,BOS,W (+6),Inactive,,,,,,,,,,,,,,,,,,,,,
1,2,,2013-11-01,23-026,TOR,@,ATL,L (-7),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,3,,2013-11-02,23-027,TOR,@,MIL,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
3,4,,2013-11-05,23-030,TOR,,MIA,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,5,,2013-11-06,23-031,TOR,@,CHA,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
5,6,,2013-11-08,23-033,TOR,@,IND,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,1,2013-11-09,23-034,TOR,,UTA,W (+24),0,17:49,3,5,.600,2,4,.500,1,2,.500,1,1,2,1,0,0,0,2,9,7.2,-9
7,8,2,2013-11-11,23-036,TOR,@,HOU,L (-6),0,8:47,0,1,.000,0,1,.000,0,0,,0,0,0,1,2,1,0,3,0,1.5,-3
8,9,3,2013-11-13,23-038,TOR,@,MEM,W (+16),0,5:16,0,0,,0,0,,4,6,.667,0,1,1,0,0,0,0,0,4,3.5,0
9,10,4,2013-11-15,23-040,TOR,,CHI,L (-16),0,18:35,2,6,.333,0,0,,0,0,,3,3,6,2,1,1,0,1,4,6.3,-2
10,11,5,2013-11-17,23-042,TOR,,POR,L (-8),0,6:50,0,0,,0,0,,0,0,,1,4,5,0,0,1,1,1,0,1.2,-3
11,12,,2013-11-20,23-045,TOR,@,PHI,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2013-11-22,23-047,TOR,,WAS,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2013-11-26,23-051,TOR,,BRK,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,6,2013-11-29,23-054,TOR,,MIA,L (-7),0,3:56,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,1,1,2,0.9,-2
15,16,,2013-12-01,23-056,TOR,,DEN,L (-14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
16,17,,2013-12-03,23-058,TOR,@,GSW,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
17,18,7,2013-12-06,23-061,TOR,@,PHO,L (-9),0,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
18,19,,2013-12-08,23-063,TOR,@,LAL,W (+12),Did Not Play,,,,,,,,,,,,,,,,,,,,,
19,20,,2013-12-09,23-064,SAC,,DAL,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2013-12-11,23-066,SAC,,UTA,L (-21),Did Not Play,,,,,,,,,,,,,,,,,,,,,
22,22,,2013-12-13,23-068,SAC,@,PHO,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
23,23,8,2013-12-15,23-070,SAC,,HOU,W (+15),0,12:48,2,2,1.000,0,0,,0,0,,1,2,3,0,0,1,0,4,4,3.8,+1
24,24,9,2013-12-17,23-072,SAC,@,CHA,L (-8),0,20:08,2,2,1.000,0,0,,1,1,1.000,2,1,3,0,1,2,0,3,5,7.3,-1
25,25,10,2013-12-18,23-073,SAC,@,ATL,L (-17),0,20:17,1,3,.333,0,1,.000,0,0,,1,3,4,1,0,0,0,2,2,1.8,-1
26,26,11,2013-12-20,23-075,SAC,@,MIA,L (-19),0,14:45,2,3,.667,0,1,.000,1,2,.500,1,1,2,0,0,0,0,0,5,4.3,-2
27,27,12,2013-12-21,23-076,SAC,@,ORL,W (+5),0,12:43,1,1,1.000,0,0,,0,0,,0,4,4,1,0,0,0,2,2,2.8,+8
28,28,13,2013-12-23,23-078,SAC,,NOP,L (-13),0,12:36,2,3,.667,0,0,,2,2,1.000,0,3,3,0,0,0,0,2,6,4.8,+1
29,29,14,2013-12-27,23-082,SAC,,MIA,W (+5),0,14:40,3,3,1.000,0,0,,2,2,1.000,1,3,4,0,0,1,1,4,8,6.8,+4
30,30,15,2013-12-29,23-084,SAC,@,SAS,L (-8),0,6:02,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-0.5,-10
31,31,16,2013-12-31,23-086,SAC,@,HOU,W (+4),0,9:28,2,3,.667,0,0,,1,1,1.000,0,3,3,0,0,0,1,1,5,3.2,-4
32,32,17,2014-01-02,23-088,SAC,,PHI,L (-9),0,16:41,0,5,.000,0,0,,0,0,,2,1,3,0,0,0,0,3,0,-3.0,-14
33,33,18,2014-01-04,23-090,SAC,,CHA,L (-10),0,14:36,0,0,,0,0,,0,0,,0,3,3,1,0,2,1,2,0,1.2,-4
34,34,19,2014-01-07,23-093,SAC,,POR,W (+4),0,8:40,1,3,.333,0,0,,1,2,.500,0,1,1,0,1,0,2,2,3,-0.6,-13
35,35,20,2014-01-10,23-096,SAC,,ORL,W (+20),0,13:49,2,2,1.000,0,0,,0,0,,0,6,6,0,0,1,0,0,4,5.9,+6
36,36,21,2014-01-12,23-098,SAC,,CLE,W (+44),0,16:45,2,3,.667,0,0,,1,1,1.000,0,3,3,2,1,0,0,4,5,5.4,+17
37,37,22,2014-01-14,23-100,SAC,@,IND,L (-24),0,23:22,3,4,.750,0,0,,0,0,,1,3,4,1,0,1,2,1,6,5.0,-9
