,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2013-10-30,28-004,NYK,,MIL,W (+7),0,17:09,3,9,.333,0,3,.000,0,0,,0,2,2,1,1,0,3,2,6,-0.6,-11
1,2,2,2013-10-31,28-005,NYK,@,CHI,L (-1),1,24:38,4,7,.571,1,2,.500,0,0,,1,0,1,1,0,0,3,4,9,2.5,-9
2,3,3,2013-11-03,28-008,NYK,,MIN,L (-9),1,18:46,6,10,.600,2,4,.500,0,0,,1,2,3,0,1,0,3,0,14,8.7,-11
3,4,4,2013-11-05,28-010,NYK,,CHA,L (-5),1,23:02,2,5,.400,0,0,,2,2,1.000,1,1,2,0,0,0,1,2,6,2.5,-7
4,5,5,2013-11-08,28-013,NYK,@,CHA,W (+10),1,34:48,11,25,.440,3,9,.333,0,0,,3,5,8,3,0,5,1,1,25,19.7,+14
5,6,6,2013-11-10,28-015,NYK,,SAS,L (-31),1,26:01,5,10,.500,1,2,.500,5,6,.833,0,1,1,0,0,0,1,2,16,9.1,-26
6,7,7,2013-11-13,28-018,NYK,@,ATL,W (+4),1,30:59,8,15,.533,2,4,.500,2,2,1.000,4,7,11,2,0,1,1,2,20,17.9,+6
7,8,8,2013-11-14,28-019,NYK,,HOU,L (-3),1,32:58,9,12,.750,3,3,1.000,3,4,.750,3,1,4,0,0,1,0,5,24,19.9,+7
8,9,9,2013-11-16,28-021,NYK,,ATL,L (-20),1,28:25,5,11,.455,1,4,.250,5,6,.833,4,5,9,2,0,2,2,2,16,14.2,-15
9,10,10,2013-11-19,28-024,NYK,@,DET,L (-6),1,37:58,6,12,.500,0,2,.000,1,1,1.000,1,5,6,2,0,1,0,4,13,9.7,-10
10,11,11,2013-11-20,28-025,NYK,,IND,L (-7),1,37:53,4,16,.250,1,6,.167,1,2,.500,2,6,8,0,0,1,0,6,10,1.5,+3
11,12,12,2013-11-23,28-028,NYK,@,WAS,L (-9),1,33:22,5,14,.357,1,4,.250,0,0,,2,2,4,5,0,1,1,3,11,7.2,-13
12,13,13,2013-11-25,28-030,NYK,@,POR,L (-11),1,43:29,7,16,.438,2,4,.500,0,2,.000,1,5,6,3,0,1,1,1,16,10.4,-9
13,14,14,2013-11-27,28-032,NYK,@,LAC,L (-13),1,38:46,8,18,.444,0,2,.000,4,4,1.000,3,6,9,1,0,4,0,3,20,16.8,+3
14,15,15,2013-11-29,28-034,NYK,@,DEN,L (-2),1,38:57,7,11,.636,1,2,.500,7,8,.875,0,5,5,2,1,0,1,4,22,18.0,+1
15,16,16,2013-12-01,28-036,NYK,,NOP,L (-4),1,36:05,5,13,.385,0,3,.000,7,8,.875,1,6,7,0,2,6,2,4,17,14.6,-4
16,17,17,2013-12-05,28-040,NYK,@,BRK,W (+30),1,27:50,7,13,.538,1,2,.500,1,1,1.000,1,1,2,3,1,3,1,3,16,13.7,+12
17,18,18,2013-12-06,28-041,NYK,,ORL,W (+38),1,28:23,6,16,.375,2,6,.333,3,4,.750,6,2,8,0,0,2,1,0,17,13.0,+11
18,19,19,2013-12-08,28-043,NYK,,BOS,L (-41),1,22:33,1,7,.143,0,0,,0,0,,0,3,3,0,0,1,1,2,2,-2.7,-34
19,20,20,2013-12-10,28-045,NYK,@,CLE,L (-15),1,32:12,5,17,.294,0,3,.000,1,2,.500,0,3,3,2,1,0,1,3,11,1.8,-22
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,21,2013-12-11,28-046,NYK,,CHI,W (+5),1,26:38,4,10,.400,0,1,.000,0,1,.000,0,3,3,1,1,1,1,1,8,4.1,-1
22,22,22,2013-12-13,28-048,NYK,@,BOS,L (-4),1,37:45,9,22,.409,0,5,.000,4,4,1.000,2,5,7,4,1,0,1,2,22,15.1,+14
23,23,23,2013-12-14,28-049,NYK,,ATL,W (+5),1,36:27,11,16,.688,1,3,.333,0,0,,4,2,6,0,2,1,2,0,23,20.3,+18
24,24,24,2013-12-16,28-051,NYK,,WAS,L (-1),1,37:29,4,12,.333,0,1,.000,5,6,.833,1,5,6,2,0,2,2,1,13,8.4,-7
25,25,25,2013-12-18,28-053,NYK,@,MIL,W (+6),0,34:22,5,16,.313,2,6,.333,0,0,,2,8,10,0,0,0,2,4,12,3.0,+16
26,26,26,2013-12-21,28-056,NYK,,MEM,L (-8),1,22:29,1,5,.200,0,1,.000,1,2,.500,1,1,2,1,0,1,1,1,3,0.5,+4
27,27,27,2013-12-23,28-058,NYK,@,ORL,W (+5),1,28:10,5,12,.417,0,1,.000,3,3,1.000,1,4,5,0,0,1,0,2,13,8.4,-6
28,28,28,2013-12-25,28-060,NYK,,OKC,L (-29),1,16:01,4,8,.500,0,0,,1,1,1.000,0,2,2,1,0,0,1,1,9,4.9,-13
29,29,29,2013-12-27,28-062,NYK,,TOR,L (-12),1,37:18,6,17,.353,2,3,.667,4,5,.800,5,7,12,0,0,2,1,1,18,13.7,-7
30,30,30,2013-12-28,28-063,NYK,@,TOR,L (-15),1,17:37,5,11,.455,0,1,.000,2,2,1.000,1,2,3,0,1,0,0,4,12,7.0,-13
31,31,31,2014-01-02,28-068,NYK,@,SAS,W (+4),1,22:19,3,8,.375,0,1,.000,4,4,1.000,2,1,3,1,0,1,2,2,10,5.9,+19
32,32,32,2014-01-03,28-069,NYK,@,HOU,L (-2),1,30:05,3,10,.300,0,3,.000,1,2,.500,4,4,8,0,0,2,2,4,7,2.6,-1
33,33,33,2014-01-05,28-071,NYK,@,DAL,W (+12),1,26:22,6,12,.500,1,1,1.000,0,0,,1,5,6,0,0,0,3,3,13,5.0,+7
34,34,34,2014-01-07,28-073,NYK,,DET,W (+4),1,31:51,6,13,.462,1,3,.333,0,0,,3,8,11,1,2,0,0,1,13,13.1,+17
35,35,35,2014-01-09,28-075,NYK,,MIA,W (+10),1,42:04,9,13,.692,0,0,,1,1,1.000,1,4,5,0,0,1,0,3,19,14.9,+4
36,36,36,2014-01-11,28-077,NYK,@,PHI,W (+10),1,24:26,4,9,.444,0,2,.000,2,2,1.000,1,3,4,3,0,0,1,3,10,6.8,-8
37,37,37,2014-01-13,28-079,NYK,,PHO,W (+2),1,33:28,3,8,.375,0,2,.000,4,4,1.000,1,6,7,1,0,1,2,3,10,6.3,+22
38,38,38,2014-01-14,28-080,NYK,@,CHA,L (-10),1,22:27,3,4,.750,1,1,1.000,1,2,.500,0,1,1,1,0,2,0,1,8,8.0,-21
39,39,39,2014-01-16,28-082,NYK,@,IND,L (-28),1,31:48,3,9,.333,0,1,.000,0,0,,2,5,7,0,0,2,2,2,6,2.4,-23
