,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2013-10-30,25-110,HOU,,CHA,W (+13),1,10:23,2,4,.500,1,3,.333,0,0,,1,0,1,1,0,0,2,0,5,2.4,+4
1,2,,2013-11-01,25-112,HOU,,DAL,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
2,3,,2013-11-02,25-113,HOU,@,UTA,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,,2013-11-04,25-115,HOU,@,LAC,L (-19),Did Not Play,,,,,,,,,,,,,,,,,,,,,
4,5,2,2013-11-05,25-116,HOU,@,POR,W (+15),0,28:37,5,9,.556,1,3,.333,1,1,1.000,4,0,4,1,0,0,0,2,12,10.4,+9
5,6,3,2013-11-07,25-118,HOU,,LAL,L (-1),1,33:49,1,10,.100,1,5,.200,0,0,,3,1,4,4,1,1,1,5,3,0.3,-7
6,7,4,2013-11-09,25-120,HOU,,LAC,L (-13),1,37:44,6,13,.462,3,8,.375,4,4,1.000,1,4,5,3,4,2,3,5,19,16.7,-12
7,8,5,2013-11-11,25-122,HOU,,TOR,W (+6),1,24:22,0,5,.000,0,4,.000,1,2,.500,1,3,4,0,0,0,3,4,1,-5.9,+5
8,9,6,2013-11-13,25-124,HOU,@,PHI,L (-6),1,42:21,4,8,.500,1,5,.200,3,4,.750,3,6,9,5,3,1,0,4,12,17.1,+11
9,10,7,2013-11-14,25-125,HOU,@,NYK,W (+3),1,26:43,2,6,.333,1,5,.200,0,0,,1,1,2,2,1,0,2,0,5,3.0,-5
10,11,8,2013-11-16,25-127,HOU,,DEN,W (+11),1,27:02,4,7,.571,3,4,.750,0,0,,2,3,5,2,0,1,0,2,11,11.3,+13
11,12,9,2013-11-19,25-130,HOU,,BOS,W (+24),1,23:03,6,9,.667,2,3,.667,2,2,1.000,0,4,4,1,0,0,1,3,16,11.8,+30
12,13,10,2013-11-20,25-131,HOU,@,DAL,L (-3),1,36:37,3,9,.333,3,8,.375,0,0,,1,1,2,3,4,0,2,3,9,7.8,0
13,14,11,2013-11-23,25-134,HOU,,MIN,W (+11),1,32:58,6,12,.500,5,8,.625,0,0,,0,2,2,3,0,0,3,3,17,9.5,+1
14,15,12,2013-11-25,25-136,HOU,@,MEM,W (+7),1,39:22,4,9,.444,1,5,.200,0,0,,1,2,3,2,1,1,2,2,9,5.9,+5
15,16,13,2013-11-27,25-138,HOU,,ATL,W (+29),1,33:05,2,8,.250,1,3,.333,2,3,.667,0,2,2,2,2,0,1,1,7,4.4,+6
16,17,14,2013-11-29,25-140,HOU,,BRK,W (+19),1,24:07,2,7,.286,1,5,.200,0,0,,0,4,4,1,0,0,0,1,5,2.4,+18
17,18,15,2013-11-30,25-141,HOU,@,SAS,W (+6),1,36:39,4,10,.400,3,5,.600,0,0,,3,3,6,5,3,1,0,3,11,14.6,+11
18,19,16,2013-12-02,25-143,HOU,@,UTA,L (-6),1,38:26,4,10,.400,0,3,.000,0,0,,2,3,5,4,2,1,0,3,8,9.2,-2
19,20,17,2013-12-04,25-145,HOU,,PHO,L (-9),1,41:54,4,10,.400,2,5,.400,2,2,1.000,3,5,8,2,2,0,1,3,12,11.4,+4
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,18,2013-12-06,25-147,HOU,,GSW,W (+22),1,32:40,2,6,.333,0,3,.000,2,4,.500,1,0,1,0,2,0,3,4,6,-0.1,+13
22,22,19,2013-12-08,25-149,HOU,,ORL,W (+10),1,38:52,3,9,.333,2,8,.250,1,3,.333,1,3,4,3,0,1,1,2,9,5.7,+17
23,23,20,2013-12-12,25-153,HOU,@,POR,L (-7),1,39:23,3,10,.300,0,0,,3,3,1.000,5,6,11,2,3,1,2,4,9,10.0,-15
24,24,21,2013-12-13,25-154,HOU,@,GSW,W (+4),1,30:17,7,9,.778,2,3,.667,0,0,,2,1,3,2,2,0,0,6,16,15.2,+11
25,25,22,2013-12-15,25-156,HOU,@,SAC,L (-15),1,31:04,2,7,.286,0,3,.000,2,2,1.000,0,1,1,2,1,0,1,2,6,2.8,-11
26,26,23,2013-12-18,25-159,HOU,,CHI,W (+15),1,33:38,5,9,.556,2,4,.500,3,5,.600,0,1,1,3,0,0,0,1,15,11.9,+4
27,27,24,2013-12-20,25-161,HOU,@,IND,L (-33),1,30:01,3,5,.600,0,1,.000,2,2,1.000,2,1,3,1,0,0,0,1,8,7.7,-17
28,28,25,2013-12-21,25-162,HOU,@,DET,W (+17),1,14:35,3,6,.500,0,1,.000,4,4,1.000,0,3,3,2,1,0,1,1,10,8.9,+7
29,29,,2013-12-23,25-164,HOU,,DAL,L (-7),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2013-12-25,25-166,HOU,@,SAS,W (+13),Inactive,,,,,,,,,,,,,,,,,,,,,
31,31,,2013-12-26,25-167,HOU,,MEM,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
32,32,,2013-12-28,25-169,HOU,,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
33,33,,2013-12-29,25-170,HOU,@,OKC,L (-31),Inactive,,,,,,,,,,,,,,,,,,,,,
34,34,,2013-12-31,25-172,HOU,,SAC,L (-4),Inactive,,,,,,,,,,,,,,,,,,,,,
35,35,,2014-01-03,25-175,HOU,,NYK,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
36,36,,2014-01-08,25-180,HOU,,LAL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
37,37,,2014-01-10,25-182,HOU,@,ATL,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
38,38,,2014-01-11,25-183,HOU,@,WAS,W (+7),Inactive,,,,,,,,,,,,,,,,,,,,,
39,39,,2014-01-13,25-185,HOU,@,BOS,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
40,40,,2014-01-15,25-187,HOU,@,NOP,W (+3),Inactive,,,,,,,,,,,,,,,,,,,,,
41,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
42,41,,2014-01-16,25-188,HOU,,OKC,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
43,42,,2014-01-18,25-190,HOU,,MIL,W (+10),Inactive,,,,,,,,,,,,,,,,,,,,,
44,43,26,2014-01-20,25-192,HOU,,POR,W (+13),1,28:56,5,11,.455,3,8,.375,4,4,1.000,1,1,2,3,1,0,2,2,17,12.6,+26
45,44,27,2014-01-22,25-194,HOU,,SAC,W (+21),1,33:11,2,9,.222,1,4,.250,1,2,.500,1,5,6,8,2,1,0,4,6,9.0,+31
46,45,28,2014-01-24,25-196,HOU,,MEM,L (-1),1,34:14,1,11,.091,1,8,.125,0,0,,2,1,3,2,0,1,0,5,3,-2.5,+1
47,46,29,2014-01-25,25-197,HOU,@,MEM,L (-18),1,32:42,3,11,.273,3,6,.500,0,0,,3,2,5,0,0,0,0,4,9,3.6,-13
48,47,30,2014-01-28,25-200,HOU,,SAS,W (+7),1,29:38,4,8,.500,1,2,.500,2,2,1.000,3,2,5,3,2,0,1,5,11,10.8,0
