,Rk,G,Date,Age,Tm, ,Opp, .1,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2015-10-28,21-112,MEM,,CLE,L (-30),0,7:04,1,4,.250,0,1,.000,1,2,.500,0,0,0,0,2,0,1,0,3,1.2,0
1,2,,2015-10-29,21-113,MEM,@,IND,W (+9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
2,3,,2015-10-31,21-115,MEM,,BRK,W (+10),Did Not Play,,,,,,,,,,,,,,,,,,,,,
3,4,2,2015-11-02,21-117,MEM,@,GSW,L (-50),0,7:36,1,2,.500,0,0,,2,3,.667,0,2,2,3,1,0,1,2,4,4.5,+4
4,5,,2015-11-03,21-118,MEM,@,SAC,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
5,6,,2015-11-05,21-120,MEM,@,POR,L (-19),Inactive,,,,,,,,,,,,,,,,,,,,,
6,7,,2015-11-07,21-122,MEM,@,UTA,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
7,8,,2015-11-09,21-124,MEM,@,LAC,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
8,9,,2015-11-11,21-126,MEM,,GSW,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
9,10,,2015-11-13,21-128,MEM,,POR,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
10,11,,2015-11-15,21-130,MEM,@,MIN,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
11,12,,2015-11-16,21-131,MEM,,OKC,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
12,13,,2015-11-20,21-135,MEM,,HOU,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
13,14,,2015-11-21,21-136,MEM,@,SAS,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
14,15,,2015-11-24,21-139,MEM,,DAL,W (+14),Inactive,,,,,,,,,,,,,,,,,,,,,
15,16,,2015-11-25,21-140,MEM,@,HOU,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
16,17,,2015-11-27,21-142,MEM,,ATL,L (-15),Inactive,,,,,,,,,,,,,,,,,,,,,
17,18,,2015-11-29,21-144,MEM,,PHI,W (+8),Inactive,,,,,,,,,,,,,,,,,,,,,
18,19,,2015-12-01,21-146,MEM,@,NOP,W (+9),Inactive,,,,,,,,,,,,,,,,,,,,,
19,20,,2015-12-03,21-148,MEM,,SAS,L (-20),Inactive,,,,,,,,,,,,,,,,,,,,,
20,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
21,21,,2015-12-06,21-151,MEM,,PHO,W (+2),Inactive,,,,,,,,,,,,,,,,,,,,,
22,22,,2015-12-08,21-153,MEM,,OKC,L (-37),Inactive,,,,,,,,,,,,,,,,,,,,,
23,23,,2015-12-09,21-154,MEM,@,DET,W (+1),Inactive,,,,,,,,,,,,,,,,,,,,,
24,24,,2015-12-11,21-156,MEM,,CHO,L (-24),Inactive,,,,,,,,,,,,,,,,,,,,,
25,25,,2015-12-13,21-158,MEM,@,MIA,L (-3),Inactive,,,,,,,,,,,,,,,,,,,,,
26,26,,2015-12-14,21-159,MEM,,WAS,W (+17),Inactive,,,,,,,,,,,,,,,,,,,,,
27,27,,2015-12-16,21-161,MEM,@,CHI,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
28,28,,2015-12-18,21-163,MEM,@,DAL,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,
29,29,,2015-12-19,21-164,MEM,,IND,W (+12),Inactive,,,,,,,,,,,,,,,,,,,,,
30,30,,2015-12-22,21-167,MEM,@,PHI,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,,
31,31,,2015-12-23,21-168,MEM,@,WAS,L (-9),Did Not Play,,,,,,,,,,,,,,,,,,,,,
